New Trigger Time,Town
18:05,westport
18:10,east-windsor
18:15,madison
18:20,ellington
18:25,cheshire
18:30,fairfield
18:35,somers
18:40,bridgeport
18:45,stafford
18:50,willington
18:55,tolland
19:00,vernon
19:05,groton
19:10,oxford
19:15,milford
19:20,new-london
19:25,east-granby
19:30,granby
19:35,stonington
20:05,avon
20:10,suffield
20:15,berlin
20:20,windsor
20:25,bloomfield
20:30,windsor-locks
20:35,canton
21:05,farmington
21:10,hartford
21:15,east-hartford
21:20,simsbury
21:25,southington
21:30,west-hartford
21:35,hamden
21:40,redding
21:45,brookfield
21:50,monroe
21:55,easton
22:00,bethel
22:05,southbury
22:10,meriden
22:15,north-haven
22:20,stratford
22:25,wallingford
22:30,west-haven
22:35,naugatuck
22:40,new-canaan
22:45,norwalk
22:50,shelton
22:55,derby
23:00,trumbull
23:05,greenwich
23:10,newtown
23:15,danbury
23:20,stamford
23:25,guilford
23:30,darien
23:35,glastonbury
23:40,manchester
23:45,mansfield
23:50,middletown
