Old Trigger,Increment,New Trigger,Town
18:00, ,18:00,westport
18:10,00:02,18:02,east-windsor
18:15,00:02,18:04,madison
18:20,00:02,18:06,ellington
18:25,00:02,18:08,cheshire
18:30,00:02,18:10,fairfield
18:35,00:02,18:12,somers
18:40,00:02,18:14,bridgeport
18:45,00:02,18:16,stafford
18:50,00:02,18:18,willington
18:55,00:02,18:20,tolland
19:00,00:02,18:22,vernon
19:05,00:02,18:24,groton
19:10,00:02,18:26,oxford
19:15,00:02,18:28,milford
19:20,00:02,18:30,new-london
19:25,00:02,18:32,east-granby
19:30,00:02,18:34,granby
19:35,00:02,18:36,stonington
20:05,00:02,18:38,avon
20:10,00:02,18:40,suffield
20:15,00:02,18:42,berlin
20:20,00:02,18:44,windsor
20:25,00:02,18:46,bloomfield
20:30,00:02,18:48,windsor-locks
20:35,00:02,18:50,canton
21:05,00:02,18:52,farmington
21:10,00:02,18:54,hartford
21:15,00:02,18:56,east-hartford
21:20,00:02,18:58,simsbury
21:25,00:02,19:00,southington
21:30,00:02,19:02,west-hartford
21:35,00:02,19:04,hamden
21:40,00:02,19:06,redding
21:45,00:02,19:08,brookfield
21:50,00:02,19:10,monroe
21:55,00:02,19:12,easton
22:00,00:02,19:14,bethel
22:05,00:02,19:16,southbury
22:10,00:02,19:18,meriden
22:15,00:02,19:20,north-haven
22:20,00:02,19:22,stratford
22:25,00:02,19:24,wallingford
22:30,00:02,19:26,west-haven
22:35,00:02,19:28,naugatuck
22:40,00:02,19:30,new-canaan
22:45,00:02,19:32,norwalk
22:50,00:02,19:34,shelton
22:55,00:02,19:36,derby
23:00,00:02,19:38,trumbull
23:05,00:02,19:40,greenwich
23:10,00:02,19:42,newtown
23:15,00:02,19:44,danbury
23:20,00:02,19:46,stamford
23:25,00:02,19:48,guilford
23:30,00:02,19:50,darien
23:35,00:02,19:52,glastonbury
23:40,00:02,19:54,manchester
23:45,00:02,19:56,mansfield
23:50,00:02,19:58,middletown
