Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/751-W-Avon-Rd-Avon-CT-06001/59044698_zpid/","24192455","560000","09/15/2026","1912","sqft","292.89","1.48","acres","3","3","751 West Avon Road","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/14-Canterbury-Ln-14-Avon-CT-06001/2056910148_zpid/","24193838","250000","09/11/2026","1350","sqft","185.19","","","2","2","14 Canterbury Lane #14","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/120-Climax-Rd-Avon-CT-06001/59045863_zpid/","24191376","525000","09/08/2026","1972","sqft","266.23","1.2","acres","4","3","120 Climax Road","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/23-Kingsbridge-Avon-CT-06001/59012287_zpid/","24195004","600000","09/04/2026","2958","sqft","202.84","0.8","acres","4","3","23 Kingsbridge","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/2-Ellsworth-Pl-Avon-CT-06001/174223399_zpid/","24192619","810000","09/04/2026","3370","sqft","240.36","0.53","acres","4","4","2 Ellsworth Place","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/71-Byron-Dr-71-Avon-CT-06001/2056909795_zpid/","24192851","380000","09/04/2026","1638","sqft","231.99","","","2","2","71 Byron Drive #71","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/8-Centerbrook-Ct-8-Avon-CT-06001/463754661_zpid/","24187781","525000","09/02/2026","3040","sqft","172.7","","","3","4","8 Centerbrook Court #8","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/17-Wright-Dr-Avon-CT-06001/59044794_zpid/","24178986","565000","09/01/2026","2665","sqft","212.01","3.89","acres","4","4","17 Wright Drive","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/60-Blueberry-Ln-Avon-CT-06001/58126917_zpid/","24190602","832500","08/31/2026","3280","sqft","253.81","0.95","acres","3","4","60 Blueberry Lane","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/100-Nod-Rd-Avon-CT-06001/94685782_zpid/","170577558","1950000","08/31/2026","0","","","9.32","acres","","","100 Nod Way","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/49-Wyngate-Dr-Avon-CT-06001/57690827_zpid/","24194172","980000","08/28/2026","4837","sqft","202.6","1.59","acres","4","6","49 Wyngate Drive","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/21-Hemlock-Ln-Avon-CT-06001/59012024_zpid/","24191463","630000","08/28/2026","4094","sqft","153.88","1.34","acres","4","3","21 Hemlock Lane","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/273-Northington-Dr-Avon-CT-06001/109171137_zpid/","24192000","1500000","08/28/2026","4886","sqft","307","0.92","acres","5","6","273 Northington Drive","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/15-Brookridge-Dr-Avon-CT-06001/174225774_zpid/","24194232","587000","08/28/2026","2021","sqft","290.45","0.92","acres","3","3","15 Brookridge Drive","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/11-Willow-Ln-11-Avon-CT-06001/2074803221_zpid/","24184730","285000","08/28/2026","1251","sqft","227.82","","","2","3","11 Willow Lane #11","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/26-Ashford-Dr-UNIT-26-Avon-CT-06001/2076285221_zpid/","24197521","375000","08/28/2026","1900","sqft","197.37","","","3","3","26 Ashford Drive #26","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/47-Paper-Chase-Trl-Avon-CT-06001/57690005_zpid/","24187977","688500","08/27/2026","2353","sqft","292.61","0.96","acres","4","3","47 Paper Chase Trail","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/11-River-Mead-Avon-CT-06001/58126730_zpid/","","350000","08/27/2026","1388","sqft","252.16","","","2","2.5","11 River Mead","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/7-Ellsworth-Pl-Avon-CT-06001/69309162_zpid/","24185133","830000","08/27/2026","3016","sqft","275.2","0.5","acres","4","3","7 Ellsworth Place","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/212-Cold-Spring-Rd-Avon-CT-06001/59045591_zpid/","24191213","910000","08/26/2026","3232","sqft","281.56","1.14","acres","4","5","212 Cold Spring Road","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/11-Rivermead-11-Avon-CT-06001/2079193132_zpid/","24193847","350000","08/26/2026","1388","sqft","252.16","","","2","3","11 River Mead #11","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/41-Ridgebury-Rd-Avon-CT-06001/57690731_zpid/","24182934","1460000","08/24/2026","7716","sqft","189.22","2.1","acres","5","7","41 Ridgebury Road","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/54-Parkview-Dr-Avon-CT-06001/59012709_zpid/","24190317","495000","08/21/2026","2004","sqft","247.01","0.69","acres","4","3","54 Parkview Drive","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/9-Weatherstone-Avon-CT-06001/109735793_zpid/","24184110","1255000","08/21/2026","5314","sqft","236.17","0.93","acres","4","5","9 Weatherstone","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/43-Oak-Ridge-Dr-Avon-CT-06001/109736095_zpid/","24192864","1352000","08/21/2026","3720","sqft","363.44","0.75","acres","5","5","43 Oak Ridge Drive","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/147-Mallard-Dr-Avon-CT-06001/58126642_zpid/","","368000","08/20/2026","1350","sqft","272.59","","","2","2","147 Mallard Dr","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/50-Chidsey-Rd-Avon-CT-06001/325864465_zpid/","24182587","605500","08/20/2026","2613","sqft","231.73","1.41","acres","4","3","50 Chidsey Road","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/70-Westbury-Avon-CT-06001/59045555_zpid/","24186391","1125000","08/19/2026","3998","sqft","281.39","0.7","acres","4","4","70 Westbury","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/51-Oakengates-Avon-CT-06001/59010902_zpid/","24182896","1025000","08/18/2026","4185","sqft","244.92","1.03","acres","5","5","51 Oakengates","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/38-Oak-Ridge-Dr-Avon-CT-06001/59045483_zpid/","24187234","600000","08/18/2026","3488","sqft","172.02","0.81","acres","5","4","38 Oak Ridge Drive","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/34-Sudbury-Way-Avon-CT-06001/59045806_zpid/","24175387","941500","08/18/2026","4120","sqft","228.52","1.22","acres","4","4","34 Sudbury Way","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/11-Strathmore-Ln-Avon-CT-06001/58127743_zpid/","","490000","08/17/2026","2023","sqft","242.21","","","3","4","11 Strathmore Ln","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/41-Verville-Rd-Avon-CT-06001/325864611_zpid/","","380000","08/17/2026","1934","sqft","196.48","4.78","acres","3","1","41 Verville Rd","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/41-Woodhaven-Dr-Avon-CT-06001/333192016_zpid/","","480000","08/17/2026","2016","sqft","238.1","1.35","acres","3","2","41 Woodhaven Dr","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/71-Woodford-Hills-Dr-Avon-CT-06001/58127618_zpid/","24189236","1650000","08/14/2026","7440","sqft","221.77","2.54","acres","5","6","71 Woodford Hills Drive","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/38-Cheltenham-Way-Avon-CT-06001/59011567_zpid/","24180995","900000","08/14/2026","5033","sqft","178.82","1.02","acres","5","4","38 Cheltenham Way","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/729-Lovely-St-Avon-CT-06001/325864529_zpid/","24181679","477000","08/14/2026","1680","sqft","283.93","0.46","acres","3","2","729 Lovely Street","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/11-Strathmore-Ln-11-Avon-CT-06001/463353457_zpid/","24168854","490000","08/14/2026","2623","sqft","186.81","","","3","3","11 Strathmore Lane #11","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/37-39-41-Verville-Rd-Avon-CT-06001/463878485_zpid/","24191621","380000","08/14/2026","0","","","5.09","acres","","","37, 39, 41 Verville Road","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/35-Heritage-Dr-35-Avon-CT-06001/2074805906_zpid/","24190381","355000","08/14/2026","1227","sqft","289.32","","","2","2","35 Heritage Drive #35","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/60-Old-Wood-Rd-Avon-CT-06001/58127312_zpid/","24176569","860000","08/12/2026","3234","sqft","265.92","0.92","acres","4","4","60 Old Wood Road","Avon","6001","CT","USA"
