Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/48-Peter-Parley-Row-Berlin-CT-06037/57694199_zpid/","24186634","419900","09/11/2026","1665","sqft","252.19","0.9","acres","3","2","48 Peter Parley Row","Berlin","6037","CT","USA"
"https://www.zillow.com/homedetails/270-New-Britain-Rd-UNIT-16-Berlin-CT-06037/64471991_zpid/","24168566","415900","09/10/2026","1401","sqft","296.86","","","2","2","270 New Britain Road #16","Berlin","6037","CT","USA"
"https://www.zillow.com/homedetails/1378-Farmington-Ave-Berlin-CT-06037/57692404_zpid/","24193040","407500","09/03/2026","1560","sqft","261.22","10454.4","sqft","3","2","1378 Farmington Avenue","Berlin","6037","CT","USA"
"https://www.zillow.com/homedetails/87-Ledge-Dr-Berlin-CT-06037/57693470_zpid/","24190089","490000","08/31/2026","1952","sqft","251.02","0.59","acres","3","2","87 Ledge Drive","Berlin","6037","CT","USA"
"https://www.zillow.com/homedetails/38-Metacomet-Dr-38-Berlin-CT-06037/463436103_zpid/","24186250","303000","08/28/2026","1296","sqft","233.8","","","2","3","38 Metacomet Drive #38","Berlin","6037","CT","USA"
"https://www.zillow.com/homedetails/28-Iris-Way-28-Berlin-CT-06037/464075832_zpid/","24191871","530000","08/26/2026","2280","sqft","232.46","","","2","3","28 Iris Way #28","Berlin","6037","CT","USA"
"https://www.zillow.com/homedetails/90-Old-Brickyard-Ln-Berlin-CT-06037/58127917_zpid/","24164854","395000","08/24/2026","1393","sqft","283.56","9583.2","sqft","4","2","90 Old Brickyard Lane","Berlin","6037","CT","USA"
"https://www.zillow.com/homedetails/35-Woodsedge-Ct-Berlin-CT-06037/57692151_zpid/","24181430","675000","08/21/2026","2973","sqft","227.04","1.81","acres","4","3","35 Woodsedge Court","Berlin","6037","CT","USA"
"https://www.zillow.com/homedetails/23-Glendale-Ave-Berlin-CT-06037/58128018_zpid/","24188233","340000","08/21/2026","799","sqft","425.53","0.39","acres","2","1","23 Glendale Avenue","Berlin","6037","CT","USA"
"https://www.zillow.com/homedetails/65-Spicewood-Ln-Berlin-CT-06037/174028924_zpid/","24180386","950000","08/21/2026","3792","sqft","250.53","0.84","acres","3","4","65 Spicewood Lane","Berlin","6037","CT","USA"
"https://www.zillow.com/homedetails/107-Hudson-St-Berlin-CT-06037/58128468_zpid/","24188787","445000","08/19/2026","1922","sqft","231.53","0.57","acres","3","3","107 Hudson Street","Berlin","6037","CT","USA"
"https://www.zillow.com/homedetails/74-Bridle-Path-Newington-CT-06111/463640099_zpid/","24173567","464000","08/19/2026","2538","sqft","182.82","0.27","acres","5","5","74 Bridle Path","Newington","6111","CT","USA"
"https://www.zillow.com/homedetails/9-Streamside-Ln-Berlin-CT-06037/72579468_zpid/","","675000","08/18/2026","2727","sqft","247.52","1","acres","3","4","9 Streamside Ln","Berlin","6037","CT","USA"
"https://www.zillow.com/homedetails/21-Sprucebrook-Trl-21-Monroe-CT-06468/57323732_zpid/","24192680","387000","08/17/2026","1388","sqft","278.82","","","1","2","21 Sprucebrook Trail #21","Monroe","6468","CT","USA"
"https://www.zillow.com/homedetails/1531-Kensington-Rd-Berlin-CT-06037/57693949_zpid/","","725000","08/17/2026","3056","sqft","237.24","2.2","acres","4","2.5","1531 Kensington Rd","Berlin","6037","CT","USA"
