Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/45-Edwards-Rd-Bethany-CT-06524/58891413_zpid/","24197428","570000","09/11/2026","1977","sqft","288.32","2.3","acres","3","2","45 Edwards Road","Bethany","6524","CT","USA"
"https://www.zillow.com/homedetails/186-Schaeffer-Rd-Bethany-CT-06524/57885653_zpid/","24179042","400000","09/04/2026","2268","sqft","176.37","1.7","acres","3","3","186 Schaeffer Road","Bethany","6524","CT","USA"
"https://www.zillow.com/homedetails/57-Edwards-Rd-Bethany-CT-06524/57885736_zpid/","24184629","692000","08/31/2026","2811","sqft","246.18","1.5","acres","4","3","57 Edwards Road","Bethany","6524","CT","USA"
"https://www.zillow.com/homedetails/67-Woodcutters-Dr-Bethany-CT-06524/57885573_zpid/","24191021","594000","08/20/2026","2082","sqft","285.3","1.5","acres","4","3","67 Woodcutters Drive","Bethany","6524","CT","USA"
"https://www.zillow.com/homedetails/817-Carrington-Rd-Bethany-CT-06524/57886167_zpid/","24176694","415000","08/19/2026","1487","sqft","279.09","1","acres","3","1","817 Carrington Road","Bethany","6524","CT","USA"
"https://www.zillow.com/homedetails/49-Round-Hill-Rd-Woodbridge-CT-06525/240598331_zpid/","24169948","1350000","08/14/2026","4828","sqft","279.62","6.25","acres","5","4","49 Round Hill Road","Woodbridge","6525","CT","USA"
"https://www.zillow.com/homedetails/45-Carmel-Rd-Bethany-CT-06524/58891169_zpid/","24187176","557500","08/13/2026","3186","sqft","174.98","5.09","acres","3","3","45 Carmel Road","Bethany","6524","CT","USA"
"https://www.zillow.com/homedetails/443-Amity-Rd-Bethany-CT-06524/174452386_zpid/","24176635","420000","08/12/2026","2922","sqft","143.74","0.5","acres","4","2","443 Amity Road","Bethany","6524","CT","USA"
"https://www.zillow.com/homedetails/65-Round-Hill-Rd-Bethany-CT-06524/109736823_zpid/","","100000","08/10/2026","","","","1.5","acres","","","65 Round Hill Rd","Bethany","6524","CT","USA"
"https://www.zillow.com/homedetails/37-Anella-Dr-Bethany-CT-06524/57886114_zpid/","24179002","530000","08/07/2026","2060","sqft","257.28","1.1","acres","3","2","37 Anella Drive","Bethany","6524","CT","USA"
"https://www.zillow.com/homedetails/Bethany-CT-06524/57886540_zpid/","24176731","806000","08/03/2026","2838","sqft","284","3.5","acres","4","4","(undisclosed Address)","Bethany","6524","CT","USA"
"https://www.zillow.com/homedetails/168-Miller-Rd-Bethany-CT-06524/174452506_zpid/","24175178","575000","07/30/2026","2426","sqft","237.02","0.7","acres","4","2","168 Miller Road","Bethany","6524","CT","USA"
"https://www.zillow.com/homedetails/14-Ann-Dr-Bethany-CT-06524/58891104_zpid/","24166846","651000","07/28/2026","2894","sqft","224.95","1.67","acres","4","3","14 Ann Drive","Bethany","6524","CT","USA"
"https://www.zillow.com/homedetails/25-Mountain-View-Rd-Bethany-CT-06524/58891330_zpid/","24185584","471000","07/28/2026","1988","sqft","236.92","1.1","acres","3","3","25 Mountain View Road","Bethany","6524","CT","USA"
"https://www.zillow.com/homedetails/103-Peck-Rd-Bethany-CT-06524/58891155_zpid/","24184431","570000","07/24/2026","2052","sqft","277.78","2","acres","4","2","103 Peck Road","Bethany","6524","CT","USA"
"https://www.zillow.com/homedetails/341-Miller-Rd-Bethany-CT-06524/109730158_zpid/","","135000","07/20/2026","","","","3.32","acres","","0","341 Miller Rd","Bethany","6524","CT","USA"
"https://www.zillow.com/homedetails/89-Woodcutters-Dr-Bethany-CT-06524/57885786_zpid/","24176697","566386","07/17/2026","2042","sqft","277.37","1.5","acres","3","3","89 Woodcutters Drive","Bethany","6524","CT","USA"
"https://www.zillow.com/homedetails/16-Marion-Rd-Bethany-CT-06524/57886095_zpid/","24178278","500000","07/17/2026","1850","sqft","270.27","1.5","acres","3","2","16 Marion Road","Bethany","6524","CT","USA"
"https://www.zillow.com/homedetails/17-Green-Hill-Rd-Bethany-CT-06524/57885916_zpid/","24180759","530000","07/16/2026","2366","sqft","224.01","1.5","acres","3","2","17 Green Hill Road","Bethany","6524","CT","USA"
"https://www.zillow.com/homedetails/74-Farm-View-Rd-Bethany-CT-06524/57886740_zpid/","24152349","1100000","07/14/2026","4340","sqft","253.46","1.66","acres","4","3","74 Farm View Road","Bethany","6524","CT","USA"
"https://www.zillow.com/homedetails/111-Lebanon-Rd-Bethany-CT-06524/174451000_zpid/","24172589","749000","06/26/2026","2388","sqft","313.65","2.7","acres","4","3","111 Lebanon Road","Bethany","6524","CT","USA"
"https://www.zillow.com/homedetails/22-Emerald-Ln-Bethany-CT-06524/57886674_zpid/","24161946","800000","06/24/2026","2816","sqft","284.09","1.53","acres","4","3","22 Emerald Lane","Bethany","6524","CT","USA"
"https://www.zillow.com/homedetails/68-Tawney-Dr-Bethany-CT-06524/57885663_zpid/","24170691","605000","06/16/2026","2361","sqft","256.25","2.41","acres","3","3","68 Tawney Drive","Bethany","6524","CT","USA"
"https://www.zillow.com/homedetails/14-Briar-Rd-Bethany-CT-06524/57886722_zpid/","24150699","840000","06/15/2026","3538","sqft","237.42","1.82","acres","5","4","14 Briar Road","Bethany","6524","CT","USA"
"https://www.zillow.com/homedetails/41-Tuttle-Ct-Bethany-CT-06524/58891442_zpid/","24173278","665000","06/12/2026","2176","sqft","305.61","1.5","acres","4","3","41 Tuttle Court","Bethany","6524","CT","USA"
"https://www.zillow.com/homedetails/23-Country-Ln-Bethany-CT-06524/64832917_zpid/","24159224","1200000","06/09/2026","5019","sqft","239.09","1.77","acres","4","4","23 Country Lane","Bethany","6524","CT","USA"
