Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/51-Hidden-Brook-Trl-Bethel-CT-06801/97449364_zpid/","24194476","620000","09/14/2026","2679","sqft","231.43","","","3","4","51 Hidden Brook Trail","Bethel","6801","CT","USA"
"https://www.zillow.com/homedetails/137-Rockwell-Rd-Bethel-CT-06801/57232550_zpid/","24146932","1050000","09/04/2026","3751","sqft","279.93","1.08","acres","5","5","137 Rockwell Road","Bethel","6801","CT","USA"
"https://www.zillow.com/homedetails/106-Concord-Ln-UNIT-106-Bethel-CT-06801/2057398943_zpid/","24193767","500000","09/04/2026","2222","sqft","225.02","","","2","3","106 Concord Lane #106","Bethel","6801","CT","USA"
"https://www.zillow.com/homedetails/4-Windaway-Rd-Bethel-CT-06801/57232813_zpid/","24184018","700000","09/03/2026","2112","sqft","331.44","0.65","acres","4","3","4 Windaway Road","Bethel","6801","CT","USA"
"https://www.zillow.com/homedetails/2B-Topstone-Dr-Bethel-CT-06801/177064671_zpid/","24184703","681000","09/03/2026","2198","sqft","309.83","10018.8","sqft","3","3","2-B Topstone Drive","Bethel","6801","CT","USA"
"https://www.zillow.com/homedetails/8-Winthrop-Rd-Bethel-CT-06801/57231587_zpid/","24185289","735000","08/31/2026","2136","sqft","344.1","0.92","acres","4","3","8 Winthrop Road","Bethel","6801","CT","USA"
"https://www.zillow.com/homedetails/15-Farnam-Hl-Bethel-CT-06801/57234176_zpid/","24181919","451000","08/31/2026","1336","sqft","337.57","0.27","acres","2","1","15 Farnam Hill","Bethel","6801","CT","USA"
"https://www.zillow.com/homedetails/12-Quaker-Ridge-Rd-Bethel-CT-06801/58772154_zpid/","24187036","500000","08/31/2026","1980","sqft","252.53","0.46","acres","3","1","12 Quaker Ridge Road","Bethel","6801","CT","USA"
"https://www.zillow.com/homedetails/7-Oakview-Ln-7-Bethel-CT-06801/463401446_zpid/","24186134","649900","08/31/2026","3384","sqft","192.05","","","2","3","7 Oakview Lane #7","Bethel","6801","CT","USA"
"https://www.zillow.com/homedetails/6-Taylor-Rd-Bethel-CT-06801/57232074_zpid/","24196573","380000","08/28/2026","2657","sqft","143.02","1.43","acres","2","2","6 Taylor Road","Bethel","6801","CT","USA"
"https://www.zillow.com/homedetails/136-Hoyts-Hl-Bethel-CT-06801/57231488_zpid/","24181403","545000","08/27/2026","2220","sqft","245.5","0.7","acres","3","3","136 Hoyts Hill","Bethel","6801","CT","USA"
"https://www.zillow.com/homedetails/24-Topstone-Dr-Bethel-CT-06801/58771801_zpid/","","525000","08/26/2026","2168","sqft","242.16","0.34","acres","3","2","24 Topstone Dr","Bethel","6801","CT","USA"
"https://www.zillow.com/homedetails/28-Garella-Rd-Bethel-CT-06801/58772298_zpid/","24180218","490000","08/26/2026","1440","sqft","340.28","0.48","acres","3","1","28 Garella Road","Bethel","6801","CT","USA"
"https://www.zillow.com/homedetails/33-Eagle-Rock-Hl-UNIT-33-Bethel-CT-06801/447914287_zpid/","24182680","420000","08/26/2026","1420","sqft","295.77","","","3","3","33 Eagle Rock Hill #33","Bethel","6801","CT","USA"
"https://www.zillow.com/homedetails/57-Natureview-Trl-Bethel-CT-06801/63009116_zpid/","24185938","299000","08/25/2026","1138","sqft","262.74","","","1","1","57 Natureview Trail","Bethel","6801","CT","USA"
"https://www.zillow.com/homedetails/13-Aunt-Pattys-Ln-W-Bethel-CT-06801/57232875_zpid/","24168710","845000","08/21/2026","2459","sqft","343.64","1.99","acres","4","3","13 Aunt Pattys Lane West","Bethel","6801","CT","USA"
"https://www.zillow.com/homedetails/143-Nashville-Rd-Bethel-CT-06801/57233694_zpid/","24183389","450000","08/20/2026","1182","sqft","380.71","1.32","acres","2","2","143 Nashville Road","Bethel","6801","CT","USA"
"https://www.zillow.com/homedetails/11-Deer-Run-Bethel-CT-06801/62825409_zpid/","","385000","08/19/2026","1440","sqft","267.36","","","3","2.5","11 Deer Run","Bethel","6801","CT","USA"
"https://www.zillow.com/homedetails/11-Deer-Run-UNIT-11-Bethel-CT-06801/462448529_zpid/","24175859","385000","08/19/2026","1440","sqft","267.36","","","3","3","11 Deer Run #11","Bethel","6801","CT","USA"
"https://www.zillow.com/homedetails/17-Wolfpits-Rd-Bethel-CT-06801/57232135_zpid/","24153248","725000","08/18/2026","3144","sqft","230.6","0.93","acres","4","3","17 Wolfpits Road","Bethel","6801","CT","USA"
"https://www.zillow.com/homedetails/56-Benedict-Rd-Bethel-CT-06801/58772332_zpid/","","400000","08/18/2026","1880","sqft","212.77","0.75","acres","4","2.5","56 Benedict Rd","Bethel","6801","CT","USA"
"https://www.zillow.com/homedetails/33-Deer-Run-Bethel-CT-06801/62940676_zpid/","","267500","08/18/2026","1036","sqft","258.2","","","2","1.5","33 Deer Run","Bethel","6801","CT","USA"
