Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/56-Peet-St-Bridgeport-CT-06606/57251699_zpid/","24165221","345000","09/12/2026","1426","sqft","241.94","4791.6","sqft","3","2","56 Peet Street","Bridgeport","6606","CT","USA"
"https://www.zillow.com/homedetails/649-Maple-St-Bridgeport-CT-06608/57244603_zpid/","24189680","220000","09/11/2026","1854","sqft","118.66","1742.4","sqft","5","2","649 Maple Street","Bridgeport","6608","CT","USA"
"https://www.zillow.com/homedetails/581-Palmetto-Rd-Bridgeport-CT-06606/57253956_zpid/","24201443","365000","09/11/2026","1287","sqft","283.61","9583.2","sqft","4","1","581 Palmetto Road","Bridgeport","6606","CT","USA"
"https://www.zillow.com/homedetails/41-Hanover-St-UNIT-41-Bridgeport-CT-06604/459964588_zpid/","24150840","150000","09/11/2026","1460","sqft","102.74","","","3","2","41 Hanover Street #41","Bridgeport","6604","CT","USA"
"https://www.zillow.com/homedetails/3200-Park-Ave-UNIT-6F1-Bridgeport-CT-06604/57250217_zpid/","24196526","475000","09/10/2026","2355","sqft","201.7","","","3","3","3200 Park Avenue #6F1","Bridgeport","6604","CT","USA"
"https://www.zillow.com/homedetails/3200-Park-Ave-UNIT-9D1-Bridgeport-CT-06604/57250233_zpid/","24186066","399000","09/10/2026","1686","sqft","236.65","","","2","2","3200 Park Avenue #9D1","Bridgeport","6604","CT","USA"
"https://www.zillow.com/homedetails/112-Ochsner-Pl-Bridgeport-CT-06606/57256254_zpid/","24191909","450000","09/10/2026","2194","sqft","205.1","9583.2","sqft","3","2","112 Ochsner Place","Bridgeport","6606","CT","USA"
"https://www.zillow.com/homedetails/69-Sunshine-Cir-Bridgeport-CT-06606/57258321_zpid/","24184375","255000","09/10/2026","912","sqft","279.61","6098.4","sqft","2","1","69 Sunshine Circle","Bridgeport","6606","CT","USA"
"https://www.zillow.com/homedetails/771-Madison-Ave-Bridgeport-CT-06606/464629936_zpid/","24198426","625000","09/10/2026","3205","sqft","195.01","4791.6","sqft","5","4","771 Madison Avenue","Bridgeport","6606","CT","USA"
"https://www.zillow.com/homedetails/839-Laurel-Ave-Bridgeport-CT-06604/57238795_zpid/","24162872","485000","09/09/2026","2580","sqft","187.98","0.33","acres","5","3","839 Laurel Avenue","Bridgeport","6604","CT","USA"
"https://www.zillow.com/homedetails/333-Vincellette-St-UNIT-83-Bridgeport-CT-06606/57251325_zpid/","24186171","270000","09/09/2026","1048","sqft","257.63","","","2","2","333 Vincellette Street #83","Bridgeport","6606","CT","USA"
"https://www.zillow.com/homedetails/200-Woodmont-Ave-APT-118-Bridgeport-CT-06606/57251359_zpid/","24170046","215000","09/09/2026","1320","sqft","162.88","","","3","2","200 Woodmont Avenue #118","Bridgeport","6606","CT","USA"
"https://www.zillow.com/homedetails/190-192-Garfield-Ave-Bridgeport-CT-06606/177085242_zpid/","24187999","715000","09/09/2026","3309","sqft","216.08","4791.6","sqft","7","4","190-192 Garfield Avenue","Bridgeport","6606","CT","USA"
"https://www.zillow.com/homedetails/349-Noble-Ave-Bridgeport-CT-06608/2136692817_zpid/","24155008","555000","09/09/2026","6727","sqft","82.5","0.26","acres","14","7","349 Noble Avenue","Bridgeport","6608","CT","USA"
"https://www.zillow.com/homedetails/612-Goldenrod-Ave-Bridgeport-CT-06606/57252551_zpid/","24202016","465000","09/08/2026","1362","sqft","341.41","9147.6","sqft","2","2","612 Goldenrod Avenue","Bridgeport","6606","CT","USA"
"https://www.zillow.com/homedetails/155-Brewster-St-2F-Bridgeport-CT-06606/57234416_zpid/","24186923","289000","09/07/2026","1040","sqft","277.88","","","1","2","155 Brewster Street #2F","Bridgeport","6606","CT","USA"
"https://www.zillow.com/homedetails/170-Wade-St-APT-4-Bridgeport-CT-06604/57241290_zpid/","24195319","326000","09/04/2026","896","sqft","363.84","","","2","2","170 Wade Street #4","Bridgeport","6604","CT","USA"
"https://www.zillow.com/homedetails/247-Harborview-Ave-Bridgeport-CT-06605/58773068_zpid/","24193257","750000","09/04/2026","1570","sqft","477.71","9147.6","sqft","3","2","247 Harborview Avenue","Bridgeport","6605","CT","USA"
"https://www.zillow.com/homedetails/11-Bell-St-Bridgeport-CT-06610/57244805_zpid/","24184744","360000","09/03/2026","1352","sqft","266.27","3920.4","sqft","3","2","11 Bell Street","Bridgeport","6610","CT","USA"
