Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/3-Bayberry-Dr-Brookfield-CT-06804/177271962_zpid/","24185520","640000","09/11/2026","2196","sqft","291.44","0.92","acres","4","3","3 Bayberry Drive","Brookfield","6804","CT","USA"
"https://www.zillow.com/homedetails/47-Obtuse-Rd-S-Brookfield-CT-06804/57262740_zpid/","24196165","740000","09/10/2026","2422","sqft","305.53","1.84","acres","4","3","47 Obtuse Road South","Brookfield","6804","CT","USA"
"https://www.zillow.com/homedetails/91-Obtuse-Hill-Rd-Brookfield-CT-06804/58775293_zpid/","24178911","779000","09/10/2026","3869","sqft","201.34","3.79","acres","4","4","91 Obtuse Hill Road","Brookfield","6804","CT","USA"
"https://www.zillow.com/homedetails/30-Old-Middle-Rd-Brookfield-CT-06804/57260567_zpid/","24193328","404000","09/09/2026","1802","sqft","224.2","1.86","acres","4","1","30 Old Middle Road","Brookfield","6804","CT","USA"
"https://www.zillow.com/homedetails/48-Pleasant-Rise-Ext-Brookfield-CT-06804/464141223_zpid/","24185240","528000","09/08/2026","1530","sqft","345.1","2.38","acres","3","3","48 Pleasant Rise Extension","Brookfield","6804","CT","USA"
"https://www.zillow.com/homedetails/27-Riverview-Ct-27-Brookfield-CT-06804/2071205413_zpid/","24189816","396907","09/08/2026","1411","sqft","281.29","","","2","2","27 Riverview Court #27","Brookfield","6804","CT","USA"
"https://www.zillow.com/homedetails/18-Vale-Rd-Brookfield-CT-06804/57260255_zpid/","24188230","555000","09/04/2026","1400","sqft","396.43","2.18","acres","4","3","18 Vale Road","Brookfield","6804","CT","USA"
"https://www.zillow.com/homedetails/95-Obtuse-Hill-Rd-Brookfield-CT-06804/57260503_zpid/","24182294","630000","09/04/2026","2202","sqft","286.1","2.21","acres","4","3","95 Obtuse Hill Road","Brookfield","6804","CT","USA"
"https://www.zillow.com/homedetails/557-Candlewood-Lake-Rd-Brookfield-CT-06804/57261662_zpid/","24187752","840000","09/04/2026","1980","sqft","424.24","8712","sqft","2","3","557 Candlewood Lake Road","Brookfield","6804","CT","USA"
"https://www.zillow.com/homedetails/15-Merwin-Brook-Rd-Brookfield-CT-06804/57261787_zpid/","24183381","690000","09/04/2026","3227","sqft","213.82","5","acres","4","4","15 Merwin Brook Road","Brookfield","6804","CT","USA"
"https://www.zillow.com/homedetails/3-Woodview-Dr-Brookfield-CT-06804/57263083_zpid/","24181282","499000","09/04/2026","1370","sqft","364.23","0.54","acres","3","3","3 Woodview Drive","Brookfield","6804","CT","USA"
"https://www.zillow.com/homedetails/37-N-Pleasant-Rise-Brookfield-CT-06804/444585103_zpid/","24184019","630000","09/04/2026","2234","sqft","282.01","2.68","acres","4","4","37 North Pleasant Rise","Brookfield","6804","CT","USA"
"https://www.zillow.com/homedetails/48-Hop-Brook-Rd-Brookfield-CT-06804/58775182_zpid/","24121592","725000","09/03/2026","3016","sqft","240.38","2.53","acres","3","3","48 Hop Brook Road","Brookfield","6804","CT","USA"
"https://www.zillow.com/homedetails/30-Short-Oak-Dr-30-Brookfield-CT-06804/463632430_zpid/","24188574","550000","09/03/2026","2453","sqft","224.22","","","3","4","30 Short Oak Drive #30","Brookfield","6804","CT","USA"
"https://www.zillow.com/homedetails/2-Bramble-Way-Brookfield-CT-06804/460191401_zpid/","24187675","629000","09/02/2026","1914","sqft","328.63","","","3","3","2 Bramble Way","Brookfield","6804","CT","USA"
"https://www.zillow.com/homedetails/102-Whisconier-Rd-Brookfield-CT-06804/57263357_zpid/","24181534","640000","08/28/2026","1863","sqft","343.53","1.04","acres","3","2","102 Whisconier Road","Brookfield","6804","CT","USA"
"https://www.zillow.com/homedetails/38-Greenridge-Dr-Brookfield-CT-06804/57262865_zpid/","24188358","720000","08/27/2026","1971","sqft","365.3","1","acres","3","3","38 Greenridge Drive","Brookfield","6804","CT","USA"
"https://www.zillow.com/homedetails/1-Bayberry-Dr-Brookfield-CT-06804/57260529_zpid/","24181865","625000","08/26/2026","2468","sqft","253.24","1.17","acres","3","3","1 Bayberry Drive","Brookfield","6804","CT","USA"
"https://www.zillow.com/homedetails/45-Mountain-View-Dr-Brookfield-CT-06804/57260704_zpid/","","515000","08/26/2026","1053","sqft","489.08","7405","sqft","2","1","45 Mountain View Dr","Brookfield","6804","CT","USA"
"https://www.zillow.com/homedetails/1-Hunting-Ridge-Rd-Brookfield-CT-06804/57262096_zpid/","24175617","535000","08/26/2026","2059","sqft","259.83","0.7","acres","3","3","1 Hunting Ridge Road","Brookfield","6804","CT","USA"
"https://www.zillow.com/homedetails/21-Hearthstone-Dr-21-Brookfield-CT-06804/2075687460_zpid/","24176895","415000","08/26/2026","3034","sqft","136.78","","","3","4","21 Hearthstone Drive #21","Brookfield","6804","CT","USA"
"https://www.zillow.com/homedetails/55A-Flax-Hill-Rd-Brookfield-CT-06804/57260549_zpid/","24177532","790000","08/21/2026","3208","sqft","246.26","2.6","acres","4","4","55-A Flax Hill Road","Brookfield","6804","CT","USA"
"https://www.zillow.com/homedetails/13-Pleasant-Rise-Cir-Brookfield-CT-06804/57260848_zpid/","24177884","710000","08/21/2026","2158","sqft","329.01","0.69","acres","3","4","13 Pleasant Rise Circle","Brookfield","6804","CT","USA"
"https://www.zillow.com/homedetails/13-Rajcula-Farm-Rd-Brookfield-CT-06804/57264338_zpid/","24188175","793000","08/21/2026","3280","sqft","241.77","0.96","acres","4","4","13 Rajcula Farm Road","Brookfield","6804","CT","USA"
"https://www.zillow.com/homedetails/3-Hamlin-Ct-Brookfield-CT-06804/57264494_zpid/","24180697","1155000","08/20/2026","3747","sqft","308.25","1.23","acres","5","4","3 Hamlin Court","Brookfield","6804","CT","USA"
