Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/14-Elmcrest-Dr-Danbury-CT-06811/58776202_zpid/","24168356","642100","09/15/2026","2027","sqft","316.77","0.51","acres","3","2","14 Elmcrest Drive","Danbury","6811","CT","USA"
"https://www.zillow.com/homedetails/16-Greta-Dr-Danbury-CT-06810/57267250_zpid/","24164664","563000","09/14/2026","2064","sqft","272.77","0.93","acres","4","3","16 Greta Drive","Danbury","6810","CT","USA"
"https://www.zillow.com/homedetails/5-Nabby-Rd-UNIT-A56-Danbury-CT-06811/57281333_zpid/","24182715","122500","09/14/2026","435","sqft","281.61","","","","1","5 Nabby Road #A56","Danbury","6811","CT","USA"
"https://www.zillow.com/homedetails/7-Padanaram-Rd-H167-Danbury-CT-06810/57271331_zpid/","24187130","180000","09/11/2026","604","sqft","298.01","","","1","1","7 Padanaram Road #H167","Danbury","6810","CT","USA"
"https://www.zillow.com/homedetails/8-Rose-Ln-APT-24-11-Danbury-CT-06811/57274476_zpid/","24173519","233500","09/11/2026","828","sqft","282","","","1","1","8 Rose Lane #24-11","Danbury","6811","CT","USA"
"https://www.zillow.com/homedetails/10-Terra-Glen-Rd-Danbury-CT-06811/58776375_zpid/","24188231","700000","09/11/2026","2132","sqft","328.33","0.95","acres","4","3","10 Terra Glen Road","Danbury","6811","CT","USA"
"https://www.zillow.com/homedetails/3-Linda-Dr-Danbury-CT-06811/57266475_zpid/","24187137","715000","09/09/2026","3237","sqft","220.88","0.94","acres","3","2","3 Linda Drive","Danbury","6811","CT","USA"
"https://www.zillow.com/homedetails/42-Miry-Brook-Rd-TRAILER-33-Danbury-CT-06810/57268847_zpid/","24183108","55000","09/09/2026","672","sqft","81.85","","","2","1","42 Miry Brook Road LOT 33","Danbury","6810","CT","USA"
"https://www.zillow.com/homedetails/37-Taylor-St-Danbury-CT-06810/57278233_zpid/","24152481","240000","09/09/2026","1008","sqft","238.1","3484.8","sqft","3","1","37 Taylor Street","Danbury","6810","CT","USA"
"https://www.zillow.com/homedetails/35-Taylor-St-Danbury-CT-06810/57278234_zpid/","24152466","245000","09/09/2026","1104","sqft","221.92","3484.8","sqft","2","1","35 Taylor Street","Danbury","6810","CT","USA"
"https://www.zillow.com/homedetails/7-Rogers-Dr-Danbury-CT-06810/177115439_zpid/","24181846","510555","09/09/2026","1332","sqft","383.3","0.57","acres","3","2","7 Rogers Drive","Danbury","6810","CT","USA"
