Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/282-Glen-Ridge-Rd-Fairfield-CT-06825/57293148_zpid/","24177817","1600000","09/14/2026","4676","sqft","342.17","0.46","acres","5","5","282 Glen Ridge Road","Fairfield","6825","CT","USA"
"https://www.zillow.com/homedetails/18-Hurd-St-Fairfield-CT-06824/58784447_zpid/","24180595","940000","09/14/2026","2400","sqft","391.67","9583.2","sqft","3","2","18 Hurd Street","Fairfield","6824","CT","USA"
"https://www.zillow.com/homedetails/679-Rowland-Rd-Fairfield-CT-06824/177271946_zpid/","24196292","3150000","09/14/2026","3660","sqft","860.66","0.28","acres","4","4","679 Rowland Road","Fairfield","6824","CT","USA"
"https://www.zillow.com/homedetails/60-Overlook-Ave-UNIT-60-Fairfield-CT-06824/464092695_zpid/","24193433","400000","09/14/2026","1008","sqft","396.83","","","2","1","60 Overlook Avenue #60","Fairfield","6824","CT","USA"
"https://www.zillow.com/homedetails/27-Brookdale-Rd-Fairfield-CT-06824/57295169_zpid/","24166766","1199000","09/11/2026","2140","sqft","560.28","0.27","acres","3","3","27 Brookdale Road","Fairfield","6824","CT","USA"
"https://www.zillow.com/homedetails/9-Wildwood-Rd-Fairfield-CT-06825/57292170_zpid/","24190193","855000","09/10/2026","2276","sqft","375.66","10018.8","sqft","3","2","9 Wildwood Road","Fairfield","6825","CT","USA"
"https://www.zillow.com/homedetails/131-Sasco-Hill-Rd-Fairfield-CT-06824/57301994_zpid/","24191170","2750000","09/10/2026","4075","sqft","674.85","0.27","acres","4","5","131 Sasco Hill Road","Fairfield","6824","CT","USA"
"https://www.zillow.com/homedetails/11-Knapps-Park-Dr-Fairfield-CT-06825/58781838_zpid/","24196466","351000","09/10/2026","624","sqft","562.5","4356","sqft","2","1","11 Knapps Park Drive","Fairfield","6825","CT","USA"
"https://www.zillow.com/homedetails/114-Lee-Dr-Fairfield-CT-06824/58785074_zpid/","24191108","2170000","09/10/2026","2602","sqft","833.97","0.28","acres","4","3","114 Lee Drive","Fairfield","6824","CT","USA"
"https://www.zillow.com/homedetails/280-Mill-Hill-Rd-Southport-CT-06890/57301796_zpid/","24170660","1550000","09/09/2026","2731","sqft","567.56","0.61","acres","3","3","280 Mill Hill Road","Southport","6890","CT","USA"
"https://www.zillow.com/homedetails/58-Millspaugh-Dr-Fairfield-CT-06824/58783952_zpid/","24189655","955000","09/09/2026","1568","sqft","609.06","10018.8","sqft","4","2","58 Millspaugh Drive","Fairfield","6824","CT","USA"
"https://www.zillow.com/homedetails/1871-Fairfield-Beach-Rd-Fairfield-CT-06824/57302460_zpid/","24187347","2725000","09/08/2026","2102","sqft","1296.38","9583.2","sqft","4","2","1871 Fairfield Beach Road","Fairfield","6824","CT","USA"
"https://www.zillow.com/homedetails/44-Elmwood-Dr-44-Fairfield-CT-06824/2063614729_zpid/","24186343","1675000","09/08/2026","2240","sqft","747.77","","","2","3","44 Elmwood Drive #44","Fairfield","6824","CT","USA"
"https://www.zillow.com/homedetails/85-Louvain-St-Fairfield-CT-06825/57292204_zpid/","24192413","837500","09/04/2026","1594","sqft","525.41","7405.2","sqft","3","2","85 Louvain Street","Fairfield","6825","CT","USA"
"https://www.zillow.com/homedetails/133-Alma-Dr-Fairfield-CT-06824/177255322_zpid/","24190816","1138000","09/04/2026","2326","sqft","489.25","10018.8","sqft","4","3","133 Alma Drive","Fairfield","6824","CT","USA"
