Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/67-W-District-Rd-Unionville-CT-06085/59070590_zpid/","24195322","435000","09/14/2026","1824","sqft","238.49","0.46","acres","4","2","67 West District Road","Unionville","6085","CT","USA"
"https://www.zillow.com/homedetails/1644-Farmington-Ave-APT-4-Farmington-CT-06085/57719361_zpid/","24199187","200000","09/11/2026","841","sqft","237.81","","","2","2","1644 Farmington Avenue #4","Farmington","6085","CT","USA"
"https://www.zillow.com/homedetails/1431-Farmington-Ave-APT-C-Farmington-CT-06032/241088993_zpid/","24193507","269900","09/11/2026","1104","sqft","244.47","","","2","2","1431 Farmington Avenue #C","Farmington","6032","CT","USA"
"https://www.zillow.com/homedetails/4-Wellington-Dr-UNIT-4-Farmington-CT-06032/2056883021_zpid/","24184084","210000","09/11/2026","887","sqft","236.75","","","2","1","4 Wellington Drive #4","Farmington","6032","CT","USA"
"https://www.zillow.com/homedetails/788-Farmington-Ave-UNIT-104-Farmington-CT-06032/249284419_zpid/","24180872","690000","09/10/2026","1956","sqft","352.76","","","3","3","788 Farmington Avenue #104","Farmington","6032","CT","USA"
"https://www.zillow.com/homedetails/32-Tall-Timbers-Dr-Farmington-CT-06032/59070677_zpid/","24184289","895000","09/08/2026","3464","sqft","258.37","1.44","acres","5","5","32 Tall Timbers Drive","Farmington","6032","CT","USA"
"https://www.zillow.com/homedetails/8-Lyle-Ct-UNIT-G-Farmington-CT-06032/241089763_zpid/","24186735","320000","09/04/2026","1536","sqft","208.33","","","2","3","8 Lyle Court #G","Farmington","6032","CT","USA"
"https://www.zillow.com/homedetails/32-Fairview-Dr-Farmington-CT-06032/58135073_zpid/","24193550","500000","09/03/2026","1841","sqft","271.59","0.44","acres","3","2","32 Fairview Drive","Farmington","6032","CT","USA"
"https://www.zillow.com/homedetails/10-Rose-Clf-Farmington-CT-06032/72134467_zpid/","24183166","965000","09/02/2026","3165","sqft","304.9","0.34","acres","4","3","10 Rose Cliff","Farmington","6032","CT","USA"
"https://www.zillow.com/homedetails/75-Mallard-Dr-75-Avon-CT-06001/2055914648_zpid/","24186787","475000","09/02/2026","1884","sqft","252.12","","","3","3","75 Mallard Drive #75","Avon","6001","CT","USA"
"https://www.zillow.com/homedetails/1122-Fienemann-Rd-Farmington-CT-06032/61801366_zpid/","24187563","413000","09/01/2026","1744","sqft","236.81","0.53","acres","3","2","1122 Fienemann Road","Farmington","6032","CT","USA"
"https://www.zillow.com/homedetails/6-Talcott-Ridge-Rd-UNIT-F-Farmington-CT-06032/241089420_zpid/","24189043","293000","09/01/2026","1455","sqft","201.37","","","2","3","6 Talcott Ridge Road #F","Farmington","6032","CT","USA"
