Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/383-Forest-Ln-Glastonbury-CT-06033/174062871_zpid/","24188754","683000","09/15/2026","2612","sqft","261.49","1.13","acres","4","3","383 Forest Lane","Glastonbury","6033","CT","USA"
"https://www.zillow.com/homedetails/45-Brewster-Rd-APT-B-Glastonbury-CT-06033/174057854_zpid/","","220000","09/14/2026","865","sqft","254.34","","","2","1","45 Brewster Road Unit B UNIT B","Glastonbury","6033","CT","USA"
"https://www.zillow.com/homedetails/360-Griswold-St-Glastonbury-CT-06033/174058309_zpid/","24192390","412000","09/11/2026","1576","sqft","261.42","0.35","acres","3","2","360 Griswold Street","Glastonbury","6033","CT","USA"
"https://www.zillow.com/homedetails/152-Chase-Hollow-Ln-Glastonbury-CT-06033/174062133_zpid/","24184462","785000","09/11/2026","2607","sqft","301.11","0.74","acres","4","3","152 Chase Hollow Lane","Glastonbury","6033","CT","USA"
"https://www.zillow.com/homedetails/146-Cambridge-Dr-Glastonbury-CT-06033/174099407_zpid/","24198993","580000","09/11/2026","1749","sqft","331.62","0.59","acres","3","2","146 Cambridge Drive","Glastonbury","6033","CT","USA"
"https://www.zillow.com/homedetails/45-Hampton-Ct-South-Glastonbury-CT-06073/174058525_zpid/","24169069","1275000","09/09/2026","4155","sqft","306.86","2.1","acres","4","4","45 Hampton Court","South Glastonbury","6073","CT","USA"
"https://www.zillow.com/homedetails/220-Stockade-Rd-South-Glastonbury-CT-06073/174056032_zpid/","24191022","555000","09/08/2026","1876","sqft","295.84","0.58","acres","4","2","220 Stockade Road","South Glastonbury","6073","CT","USA"
"https://www.zillow.com/homedetails/3-Dutton-Place-Way-3-Glastonbury-CT-06033/2056883619_zpid/","24191393","300000","09/08/2026","1337","sqft","224.38","","","2","2","3 Dutton Place Way #3","Glastonbury","6033","CT","USA"
"https://www.zillow.com/homedetails/199-Grindle-Brook-Rd-South-Glastonbury-CT-06073/174057065_zpid/","24193750","550000","09/04/2026","2096","sqft","262.4","1.03","acres","4","3","199 Grindle Brook Road","South Glastonbury","6073","CT","USA"
"https://www.zillow.com/homedetails/61-Hillcrest-Rd-Glastonbury-CT-06033/174058031_zpid/","24186945","512000","09/04/2026","1439","sqft","355.8","0.48","acres","3","3","61 Hillcrest Road","Glastonbury","6033","CT","USA"
"https://www.zillow.com/homedetails/104-Old-Farms-Rd-South-Glastonbury-CT-06073/450763297_zpid/","24175903","699000","09/04/2026","3521","sqft","198.52","1.12","acres","5","3","104 Old Farms Road","South Glastonbury","6073","CT","USA"
"https://www.zillow.com/homedetails/119-Spring-St-Glastonbury-CT-06033/174057393_zpid/","24172165","565000","09/03/2026","1928","sqft","293.05","0.35","acres","3","3","119 Spring Street","Glastonbury","6033","CT","USA"
"https://www.zillow.com/homedetails/328-Olde-Stage-Rd-Glastonbury-CT-06033/174062082_zpid/","24190714","695000","09/03/2026","1888","sqft","368.11","0.35","acres","4","3","328 Olde Stage Road","Glastonbury","6033","CT","USA"
"https://www.zillow.com/homedetails/515-Cedar-Ridge-Dr-Glastonbury-CT-06033/174080127_zpid/","24162452","2499000","09/02/2026","6015","sqft","415.46","3.09","acres","4","8","515 Cedar Ridge Drive","Glastonbury","6033","CT","USA"
"https://www.zillow.com/homedetails/144-Butler-Dr-Glastonbury-CT-06033/174082780_zpid/","24186743","599900","09/02/2026","2400","sqft","249.96","0.69","acres","3","3","144 Butler Drive","Glastonbury","6033","CT","USA"
"https://www.zillow.com/homedetails/24-S-Mill-Dr-24-South-Glastonbury-CT-06073/2059106633_zpid/","24186384","380000","09/02/2026","1499","sqft","253.5","","","3","2","24 South Mill Drive #24","South Glastonbury","6073","CT","USA"
"https://www.zillow.com/homedetails/100-Heritage-Dr-Glastonbury-CT-06033/174072472_zpid/","24191778","561000","09/01/2026","2288","sqft","245.19","1.59","acres","3","3","100 Heritage Drive","Glastonbury","6033","CT","USA"
"https://www.zillow.com/homedetails/52-Jasmine-Ln-Glastonbury-CT-06033/174081938_zpid/","24183732","881000","09/01/2026","3414","sqft","258.06","1","acres","4","3","52 Jasmine Lane","Glastonbury","6033","CT","USA"
"https://www.zillow.com/homedetails/11-Bantle-Rd-Glastonbury-CT-06033/174056404_zpid/","24186004","450000","08/28/2026","2156","sqft","208.72","1.01","acres","3","2","11 Bantle Road","Glastonbury","6033","CT","USA"
"https://www.zillow.com/homedetails/16-Drumlin-Rd-South-Glastonbury-CT-06073/174058289_zpid/","24176486","1300000","08/28/2026","4680","sqft","277.78","0.64","acres","4","4","16 Drumlin Road","South Glastonbury","6073","CT","USA"
"https://www.zillow.com/homedetails/227-Old-Farms-Rd-South-Glastonbury-CT-06073/174059076_zpid/","24162712","895000","08/28/2026","3463","sqft","258.45","1.47","acres","4","5","227 Old Farms Road","South Glastonbury","6073","CT","USA"
"https://www.zillow.com/homedetails/72-Ripley-Rd-Glastonbury-CT-06033/174099683_zpid/","","370000","08/28/2026","1008","sqft","367.06","9583","sqft","2","1","72 Ripley Rd","Glastonbury","6033","CT","USA"
"https://www.zillow.com/homedetails/270-Farmcliff-Dr-Glastonbury-CT-06033/174060996_zpid/","24189719","980000","08/27/2026","3858","sqft","254.02","0.63","acres","4","4","270 Farmcliff Drive","Glastonbury","6033","CT","USA"
"https://www.zillow.com/homedetails/24-Brookview-Dr-Glastonbury-CT-06033/174068365_zpid/","24189318","700000","08/26/2026","2512","sqft","278.66","0.6","acres","4","3","24 Brookview Drive","Glastonbury","6033","CT","USA"
"https://www.zillow.com/homedetails/166-Stevens-Ln-Glastonbury-CT-06033/174055010_zpid/","24188897","525000","08/25/2026","2688","sqft","195.31","0.5","acres","3","3","166 Stevens Lane","Glastonbury","6033","CT","USA"
"https://www.zillow.com/homedetails/9-Newberry-Ln-9-Glastonbury-CT-06033/461806411_zpid/","24168460","309900","08/25/2026","955","sqft","324.5","","","1","1","9 Newberry Lane #9","Glastonbury","6033","CT","USA"
"https://www.zillow.com/homedetails/67-Three-Mile-Rd-Glastonbury-CT-06033/174060725_zpid/","","340000","08/24/2026","1614","sqft","210.66","1.06","acres","3","1.5","67 Three Mile Rd","Glastonbury","6033","CT","USA"
"https://www.zillow.com/homedetails/14-Rockhaven-Dr-14-Glastonbury-CT-06033/2056909689_zpid/","24189546","294000","08/24/2026","928","sqft","316.81","","","1","1","14 Rockhaven Drive #14","Glastonbury","6033","CT","USA"
"https://www.zillow.com/homedetails/15-Hollister-Way-N-15-Glastonbury-CT-06033/2099589353_zpid/","24190782","302000","08/21/2026","1018","sqft","296.66","","","2","2","15 Hollister Way North #15","Glastonbury","6033","CT","USA"
