Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/309-Freeman-St-Hartford-CT-06106/57730229_zpid/","24194148","325000","09/14/2026","900","sqft","361.11","7840.8","sqft","2","1","309 Freeman Street","Hartford","6106","CT","USA"
"https://www.zillow.com/homedetails/245-Freeman-St-Hartford-CT-06106/59075537_zpid/","24193824","305000","09/11/2026","1188","sqft","256.73","7405.2","sqft","2","1","245 Freeman Street","Hartford","6106","CT","USA"
"https://www.zillow.com/homedetails/98-100-Capen-St-Hartford-CT-06120/249085816_zpid/","24184468","525000","09/11/2026","3376","sqft","155.51","10454.4","sqft","8","3","98-100 Capen Street","Hartford","6120","CT","USA"
"https://www.zillow.com/homedetails/164-N-Beacon-St-Hartford-CT-06105/59075972_zpid/","24177940","655000","09/10/2026","4054","sqft","161.57","8276.4","sqft","6","4","164 North Beacon Street","Hartford","6105","CT","USA"
"https://www.zillow.com/homedetails/30-32-Wayland-St-Hartford-CT-06114/173991384_zpid/","24193701","470000","09/10/2026","4224","sqft","111.27","6534","sqft","8","3","30-32 Wayland Street","Hartford","6114","CT","USA"
"https://www.zillow.com/homedetails/285-Zion-St-Hartford-CT-06106/173982144_zpid/","24159408","340000","09/09/2026","1892","sqft","179.7","3920.4","sqft","5","2","285 Zion Street","Hartford","6106","CT","USA"
"https://www.zillow.com/homedetails/32-34-Bedford-St-Hartford-CT-06120/462115618_zpid/","24170951","594999","09/05/2026","7278","sqft","81.75","4791.6","sqft","19","7","32-34 Bedford Street","Hartford","6120","CT","USA"
"https://www.zillow.com/homedetails/250-Hillside-Ave-Hartford-CT-06106/58140167_zpid/","24194290","220000","09/04/2026","1210","sqft","181.82","3920.4","sqft","3","1","250 Hillside Avenue","Hartford","6106","CT","USA"
"https://www.zillow.com/homedetails/99-101-Campfield-Ave-Hartford-CT-06114/173986959_zpid/","24174521","480000","09/04/2026","3120","sqft","153.85","6098.4","sqft","8","3","99-101 Campfield Avenue","Hartford","6114","CT","USA"
"https://www.zillow.com/homedetails/755-Wethersfield-Ave-APT-C9-Hartford-CT-06114/57733195_zpid/","","50000","09/02/2026","629","sqft","79.49","","","1","1","755 Wethersfield Ave APT C9","Hartford","6114","CT","USA"
