Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/366-Hackmatack-St-Manchester-CT-06040/62539524_zpid/","24198971","456000","09/14/2026","2269","sqft","200.97","1","acres","3","2","366 Hackmatack Street","Manchester","6040","CT","USA"
"https://www.zillow.com/homedetails/17-Oak-Forest-Dr-5-Manchester-CT-06042/62541721_zpid/","24197859","275000","09/14/2026","1010","sqft","272.28","","","2","1","17 Oak Forest Drive #5","Manchester","6042","CT","USA"
"https://www.zillow.com/homedetails/296-Ferguson-Rd-Manchester-CT-06040/59078950_zpid/","24180086","412000","09/11/2026","1892","sqft","217.76","0.7","acres","3","2","296 Ferguson Road","Manchester","6040","CT","USA"
"https://www.zillow.com/homedetails/451-Birch-Mountain-Rd-Manchester-CT-06040/58143685_zpid/","24191318","350000","09/10/2026","1493","sqft","234.43","0.87","acres","3","1","451 Birch Mountain Road","Manchester","6040","CT","USA"
"https://www.zillow.com/homedetails/355-Burnham-St-Manchester-CT-06042/59076651_zpid/","24190573","415000","09/10/2026","1380","sqft","300.72","0.46","acres","3","1","355 Burnham Street","Manchester","6042","CT","USA"
"https://www.zillow.com/homedetails/24-Round-Hill-Rd-Manchester-CT-06040/62542429_zpid/","24193062","620000","09/10/2026","3235","sqft","191.65","1.19","acres","5","3","24 Round Hill Road","Manchester","6040","CT","USA"
"https://www.zillow.com/homedetails/71-Jarvis-Rd-Manchester-CT-06040/174157237_zpid/","24186275","310000","09/10/2026","1144","sqft","270.98","7405.2","sqft","4","1","71 Jarvis Road","Manchester","6040","CT","USA"
"https://www.zillow.com/homedetails/127-Deepwood-Dr-Manchester-CT-06040/62538435_zpid/","24191337","305000","09/09/2026","845","sqft","360.95","7405.2","sqft","3","1","127 Deepwood Drive","Manchester","6040","CT","USA"
"https://www.zillow.com/homedetails/53-Hilltop-Dr-Manchester-CT-06042/62539962_zpid/","24189682","330000","09/09/2026","1225","sqft","269.39","0.25","acres","3","2","53 Hilltop Drive","Manchester","6042","CT","USA"
"https://www.zillow.com/homedetails/110-Hawthorne-St-Manchester-CT-06042/174162899_zpid/","","289900","09/09/2026","1008","sqft","287.6","6098.4","sqft","4","1","110 Hawthorne St","Manchester","6042","CT","USA"
"https://www.zillow.com/homedetails/264-Charter-Oak-St-Manchester-CT-06040/58142973_zpid/","24189294","276000","09/08/2026","1344","sqft","205.36","0.28","acres","3","2","264 Charter Oak Street","Manchester","6040","CT","USA"
"https://www.zillow.com/homedetails/10-Coughlin-Rd-Manchester-CT-06040/63040210_zpid/","24197865","536000","09/08/2026","2064","sqft","259.69","0.44","acres","3","3","10 Coughlin Road","Manchester","6040","CT","USA"
"https://www.zillow.com/homedetails/59-Tufts-Dr-Manchester-CT-06042/174156336_zpid/","24193240","675000","09/08/2026","2616","sqft","258.03","0.66","acres","5","3","59 Tufts Drive","Manchester","6042","CT","USA"
"https://www.zillow.com/homedetails/26-Trebbe-Dr-Manchester-CT-06040/57744904_zpid/","24195392","349000","09/04/2026","1236","sqft","282.36","9147.6","sqft","3","1","26 Trebbe Drive","Manchester","6040","CT","USA"
"https://www.zillow.com/homedetails/113-Lenox-St-Manchester-CT-06040/62540464_zpid/","24190905","270000","09/04/2026","1080","sqft","250","8712","sqft","3","1","113 Lenox Street","Manchester","6040","CT","USA"
"https://www.zillow.com/homedetails/22-Scarborough-Rd-Manchester-CT-06040/62542543_zpid/","24191444","400000","09/04/2026","1684","sqft","237.53","7840.8","sqft","4","2","22 Scarborough Road","Manchester","6040","CT","USA"
"https://www.zillow.com/homedetails/12-Esquire-Dr-UNIT-A-Manchester-CT-06042/241158183_zpid/","24195660","250000","09/04/2026","952","sqft","262.61","","","2","1","12 Esquire Drive #A","Manchester","6042","CT","USA"
"https://www.zillow.com/homedetails/64-Ridge-St-66-Manchester-CT-06040/461496806_zpid/","24164534","339000","09/04/2026","2528","sqft","134.1","5227.2","sqft","5","2","64-66 Ridge Street","Manchester","6040","CT","USA"
"https://www.zillow.com/homedetails/65-Broad-St-Manchester-CT-06042/57746795_zpid/","24185841","344000","09/03/2026","1242","sqft","276.97","7840.8","sqft","3","1","65 Broad Street","Manchester","6042","CT","USA"
