Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/36-Mount-Hope-Rd-Mansfield-CT-06250/58996242_zpid/","24191433","422500","09/16/2026","1596","sqft","264.72","0.92","acres","3","2","36 Mount Hope Road","Mansfield","6250","CT","USA"
"https://www.zillow.com/homedetails/35-Clear-View-Dr-Mansfield-CT-06250/58998299_zpid/","24194666","297000","09/15/2026","1232","sqft","241.07","0.3","acres","2","1","35 Clear View Drive","Mansfield","6250","CT","USA"
"https://www.zillow.com/homedetails/829-Stafford-Rd-Mansfield-CT-06268/58996986_zpid/","24172820","380000","09/04/2026","1980","sqft","191.92","1.67","acres","3","2","829 Stafford Road","Mansfield","6268","CT","USA"
"https://www.zillow.com/homedetails/29-Anton-Rd-APT-D-Mansfield-CT-06268/207168787_zpid/","24193590","227500","09/03/2026","928","sqft","245.15","","","2","2","29 Anton Road #D","Mansfield","6268","CT","USA"
"https://www.zillow.com/homedetails/14-White-Oak-Rd-A-Storrs-Mansfield-CT-06268/2079153251_zpid/","24197424","119000","09/01/2026","810","sqft","146.91","","","2","1","14 White Oak Road #A","Storrs Mansfield","6268","CT","USA"
"https://www.zillow.com/homedetails/668-Middle-Tpke-Mansfield-CT-06268/58996029_zpid/","24185893","400000","08/28/2026","2544","sqft","157.23","1.1","acres","4","2","668 Middle Turnpike","Mansfield","6268","CT","USA"
"https://www.zillow.com/homedetails/70-Davis-Rd-Mansfield-CT-06268/58997210_zpid/","24186836","750000","08/25/2026","3662","sqft","204.81","6.67","acres","3","4","70 Davis Road","Mansfield","6268","CT","USA"
"https://www.zillow.com/homedetails/59-Mary-Belle-Dr-Mansfield-CT-06268/58995669_zpid/","24183718","135000","08/24/2026","1012","sqft","133.4","","","3","2","59 Mary Belle Drive","Mansfield","6268","CT","USA"
"https://www.zillow.com/homedetails/10-Thornbush-Road-Ext-Mansfield-CT-06250/58998404_zpid/","24189159","340000","08/21/2026","1288","sqft","263.98","0.7","acres","2","1","10 Thornbush Rd Extension","Mansfield","6250","CT","USA"
"https://www.zillow.com/homedetails/23-Old-Schoolhouse-Rd-Mansfield-CT-06268/207170136_zpid/","24191025","440000","08/21/2026","2474","sqft","177.85","0.94","acres","3","3","23 Old Schoolhouse Road","Mansfield","6268","CT","USA"
"https://www.zillow.com/homedetails/46-Hillyndale-Rd-Mansfield-CT-06268/58996370_zpid/","24169786","385000","08/20/2026","1226","sqft","314.03","0.9","acres","3","2","46 Hillyndale Road","Mansfield","6268","CT","USA"
"https://www.zillow.com/homedetails/631-Warrenville-Rd-Mansfield-CT-06250/58996869_zpid/","24180413","283250","08/18/2026","1222","sqft","231.79","0.6","acres","3","2","631 Warrenville Road","Mansfield","6250","CT","USA"
"https://www.zillow.com/homedetails/42-Grandview-Cir-Mansfield-CT-06268/58995898_zpid/","24191466","105000","08/17/2026","624","sqft","168.27","3","acres","2","1","42 Grandview Circle","Mansfield","6268","CT","USA"
"https://www.zillow.com/homedetails/194-Brookside-Ln-Mansfield-CT-06250/58996912_zpid/","24178945","566500","08/17/2026","2542","sqft","222.86","2.66","acres","3","3","194 Brookside Lane","Mansfield","6250","CT","USA"
"https://www.zillow.com/homedetails/3-Little-Ln-Mansfield-CT-06268/58996474_zpid/","24169675","411000","08/14/2026","1636","sqft","251.22","1.4","acres","5","2","3 Little Lane","Mansfield","6268","CT","USA"
"https://www.zillow.com/homedetails/28-Hunters-Run-Mansfield-CT-06268/58997578_zpid/","24179300","750000","08/12/2026","3273","sqft","229.15","1.13","acres","4","4","28 Hunters Run","Mansfield","6268","CT","USA"
"https://www.zillow.com/homedetails/139-Puddin-Ln-Mansfield-CT-06250/58998177_zpid/","24186361","400000","08/11/2026","2100","sqft","190.48","1","acres","3","2","139 Puddin Lane","Mansfield","6250","CT","USA"
"https://www.zillow.com/homedetails/60-Olsen-Dr-Mansfield-CT-06250/58997351_zpid/","24183039","551000","08/10/2026","2712","sqft","203.17","5","acres","3","2","60 Olsen Drive","Mansfield","6250","CT","USA"
"https://www.zillow.com/homedetails/13-White-Oak-Rd-A-Mansfield-CT-06268/207170980_zpid/","","96075","08/10/2026","810","sqft","118.61","","","2","1","13 White Oak Rd #A","Mansfield","6268","CT","USA"
"https://www.zillow.com/homedetails/37-Crystal-Ln-APT-D-Mansfield-CT-06268/207173054_zpid/","","230000","08/10/2026","952","sqft","241.6","","","2","1.5","37 Crystal Ln APT D","Mansfield","6268","CT","USA"
"https://www.zillow.com/homedetails/37D-Crystal-Ln-D-Storrs-Mansfield-CT-06268/462486813_zpid/","24175888","230000","08/06/2026","1164","sqft","197.59","","","2","2","37D Crystal Lane #D","Storrs Mansfield","6268","CT","USA"
"https://www.zillow.com/homedetails/274-Hanks-Hill-Rd-Mansfield-CT-06268/58996734_zpid/","","435000","08/05/2026","2000","sqft","217.5","1.3","acres","5","3","274 Hanks Hill Rd","Mansfield","6268","CT","USA"
"https://www.zillow.com/homedetails/15-Sherwood-St-Mansfield-CT-06268/207195147_zpid/","","385000","08/03/2026","1080","sqft","356.48","","","2","2.5","15 Sherwood St","Mansfield","6268","CT","USA"
"https://www.zillow.com/homedetails/16-Pine-Ridge-Ln-Mansfield-CT-06250/58998290_zpid/","24160847","571500","07/31/2026","3066","sqft","186.4","1.1","acres","4","3","16 Pine Ridge Lane","Mansfield","6250","CT","USA"
"https://www.zillow.com/homedetails/7-Adeline-Pl-Mansfield-CT-06250/58998569_zpid/","24175921","485000","07/31/2026","2168","sqft","223.71","0.5","acres","3","3","7 Adeline Place","Mansfield","6250","CT","USA"
"https://www.zillow.com/homedetails/55-Mary-Belle-Dr-Mansfield-CT-06268/58995665_zpid/","24174791","160000","07/29/2026","924","sqft","173.16","","","2","2","55 Mary Belle Drive","Mansfield","6268","CT","USA"
"https://www.zillow.com/homedetails/105-Gurleyville-Rd-Mansfield-CT-06268/82594445_zpid/","","470000","07/28/2026","2040","sqft","230.39","2.8","acres","4","2","105 Gurleyville Rd","Mansfield","6268","CT","USA"
"https://www.zillow.com/homedetails/163-Highland-Rd-Mansfield-CT-06250/58998077_zpid/","24183295","690000","07/24/2026","2624","sqft","262.96","1.65","acres","4","4","163 Highland Road","Mansfield","6250","CT","USA"
"https://www.zillow.com/homedetails/1556-Storrs-Rd-Mansfield-CT-06268/72572659_zpid/","24184345","550000","07/24/2026","2376","sqft","231.48","1.38","acres","4","3","1556 Storrs Road","Mansfield","6268","CT","USA"
"https://www.zillow.com/homedetails/9-Sycamore-Dr-APT-D-Mansfield-CT-06268/207170251_zpid/","24179308","312000","07/24/2026","1168","sqft","267.12","","","2","2","9 Sycamore Drive #D","Mansfield","6268","CT","USA"
"https://www.zillow.com/homedetails/131-Courtyard-Ln-Mansfield-CT-06268/58996694_zpid/","","355000","07/20/2026","1397","sqft","254.12","","","2","2.5","131 Courtyard Ln","Mansfield","6268","CT","USA"
"https://www.zillow.com/homedetails/129-Sawmill-Brook-Ln-Mansfield-CT-06250/58998239_zpid/","24167968","600000","07/16/2026","2901","sqft","206.83","1.3","acres","4","4","129 Sawmill Brook Lane","Mansfield","6250","CT","USA"
"https://www.zillow.com/homedetails/131-Courtyard-Ln-131-Storrs-Mansfield-CT-06268/2077386796_zpid/","24180173","355000","07/16/2026","1418","sqft","250.35","","","2","3","131 Courtyard Lane #131","Storrs Mansfield","6268","CT","USA"
"https://www.zillow.com/homedetails/710-Storrs-Rd-Mansfield-CT-06268/62554004_zpid/","24174841","445575","07/15/2026","2076","sqft","214.63","1.57","acres","2","2","710 Storrs Road","Mansfield","6268","CT","USA"
"https://www.zillow.com/homedetails/38-Mary-Belle-Dr-Mansfield-CT-06268/72561077_zpid/","24178287","135000","07/15/2026","924","sqft","146.1","","","2","2","38 Mary Belle Drive","Mansfield","6268","CT","USA"
"https://www.zillow.com/homedetails/174A-Ravine-Ln-Storrs-Mansfield-CT-06268/439579242_zpid/","24181766","365500","07/13/2026","1713","sqft","213.37","1.2","acres","3","2","174-A Ravine Lane","Storrs Mansfield","6268","CT","USA"
"https://www.zillow.com/homedetails/40-Maxfelix-Dr-Mansfield-CT-06268/72565659_zpid/","24152555","781000","07/10/2026","3152","sqft","247.78","2.1","acres","4","3","40 Maxfelix Drive","Mansfield","6268","CT","USA"
"https://www.zillow.com/homedetails/265-Hanks-Hill-Rd-Mansfield-CT-06268/58996754_zpid/","170562747","937500","07/09/2026","3932","sqft","238.43","21.4","acres","3","3","265 Hanks Hill Road","Mansfield","6268","CT","USA"
"https://www.zillow.com/homedetails/48-Maple-Rd-Mansfield-CT-06268/58997126_zpid/","24177111","375000","07/09/2026","1350","sqft","277.78","2.1","acres","3","2","48 Maple Road","Mansfield","6268","CT","USA"
"https://www.zillow.com/homedetails/19-Little-Ln-Mansfield-CT-06268/58996408_zpid/","24176768","560000","07/08/2026","2286","sqft","244.97","1.5","acres","5","3","19 Little Lane","Mansfield","6268","CT","USA"
"https://www.zillow.com/homedetails/67-Mulberry-Rd-Mansfield-CT-06250/58996792_zpid/","24184082","350000","07/08/2026","1248","sqft","280.45","2.1","acres","3","2","67 Mulberry Road","Mansfield","6250","CT","USA"
