Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/98-Burgundy-Hill-Ln-98-Middletown-CT-06457/464321013_zpid/","24195852","128000","09/15/2026","711","sqft","180.03","","","2","1","98 Burgundy Hill Lane #98","Middletown","6457","CT","USA"
"https://www.zillow.com/homedetails/279-Congdon-St-Middletown-CT-06457/61805902_zpid/","24194846","510000","09/14/2026","2016","sqft","252.98","0.36","acres","3","3","279 Congdon Street","Middletown","6457","CT","USA"
"https://www.zillow.com/homedetails/87-Meech-Rd-Middletown-CT-06457/200418955_zpid/","24199864","510000","09/14/2026","2369","sqft","215.28","0.26","acres","4","3","87 Meech Road","Middletown","6457","CT","USA"
"https://www.zillow.com/homedetails/67-Butternut-St-Middletown-CT-06457/57864557_zpid/","24194926","335000","09/10/2026","1264","sqft","265.03","8712","sqft","3","1","67 Butternut Street","Middletown","6457","CT","USA"
"https://www.zillow.com/homedetails/4-Crown-St-Middletown-CT-06457/57864624_zpid/","24189063","300000","09/10/2026","936","sqft","320.51","7405.2","sqft","2","1","4 Crown Street","Middletown","6457","CT","USA"
"https://www.zillow.com/homedetails/9-Round-Hill-Rd-Middletown-CT-06457/200425616_zpid/","24190665","390000","09/10/2026","2067","sqft","188.68","0.48","acres","3","3","9 Round Hill Road","Middletown","6457","CT","USA"
"https://www.zillow.com/homedetails/2-Canterbury-Ct-2-Middletown-CT-06457/2091789012_zpid/","24194866","298000","09/10/2026","1196","sqft","249.16","","","2","2","2 Canterbury Court #2","Middletown","6457","CT","USA"
"https://www.zillow.com/homedetails/10-Countryside-Ln-5-Middletown-CT-06457/57866282_zpid/","24193840","240000","09/09/2026","1088","sqft","220.59","","","2","2","10 Countryside Lane #5","Middletown","6457","CT","USA"
"https://www.zillow.com/homedetails/347-Farm-Hill-Rd-Middletown-CT-06457/57868451_zpid/","24188777","425000","09/08/2026","1974","sqft","215.3","0.28","acres","3","1","347 Farm Hill Road","Middletown","6457","CT","USA"
"https://www.zillow.com/homedetails/200-E-Ridge-Rd-Middletown-CT-06457/57864491_zpid/","24191334","386000","09/06/2026","1654","sqft","233.37","10018.8","sqft","2","2","200 East Ridge Road","Middletown","6457","CT","USA"
"https://www.zillow.com/homedetails/711-Ridge-Rd-Middletown-CT-06457/57867748_zpid/","24197975","331000","09/04/2026","1045","sqft","316.75","0.27","acres","2","2","711 Ridge Road","Middletown","6457","CT","USA"
"https://www.zillow.com/homedetails/175-Rolling-Grn-Middletown-CT-06457/61805685_zpid/","24183267","535100","09/04/2026","3363","sqft","159.11","9583.2","sqft","4","3","175 Rolling Green","Middletown","6457","CT","USA"
"https://www.zillow.com/homedetails/177-Barbara-Rd-Middletown-CT-06457/200417812_zpid/","24197262","401500","09/04/2026","1487","sqft","270.01","10454.4","sqft","2","3","177 Barbara Road","Middletown","6457","CT","USA"
"https://www.zillow.com/homedetails/79-Trolley-Crossing-Ln-79-Middletown-CT-06457/2056888467_zpid/","24191054","258000","09/04/2026","1206","sqft","213.93","","","2","2","79 Trolley Crossing Lane #79","Middletown","6457","CT","USA"
"https://www.zillow.com/homedetails/111-Dekoven-Dr-APT-908-Middletown-CT-06457/57868234_zpid/","24174644","155000","09/01/2026","738","sqft","210.03","","","1","2","111 Dekoven Drive #908","Middletown","6457","CT","USA"
"https://www.zillow.com/homedetails/779-Ridge-Rd-Middletown-CT-06457/58853308_zpid/","24188018","475000","09/01/2026","2642","sqft","179.79","0.45","acres","3","3","779 Ridge Road","Middletown","6457","CT","USA"
