Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/279-Pastors-Walk-Monroe-CT-06468/57322155_zpid/","24179440","470000","09/03/2026","1056","sqft","445.08","1","acres","2","1","279 Pastors Walk","Monroe","6468","CT","USA"
"https://www.zillow.com/homedetails/46-Doris-Dr-Monroe-CT-06468/57319907_zpid/","24191150","725000","09/01/2026","2289","sqft","316.73","1","acres","4","3","46 Doris Drive","Monroe","6468","CT","USA"
"https://www.zillow.com/homedetails/395-Cross-Hill-Rd-Monroe-CT-06468/57319898_zpid/","24164925","630000","08/31/2026","1757","sqft","358.57","1.09","acres","4","3","395 Cross Hill Road","Monroe","6468","CT","USA"
"https://www.zillow.com/homedetails/40-Senior-Dr-UNIT-40-Monroe-CT-06468/57323392_zpid/","24180572","230000","08/31/2026","765","sqft","300.65","","","1","1","40 Senior Drive #40","Monroe","6468","CT","USA"
"https://www.zillow.com/homedetails/291-Wheeler-Rd-Monroe-CT-06468/57321024_zpid/","24185934","775000","08/28/2026","2173","sqft","356.65","1.16","acres","3","3","291 Wheeler Road","Monroe","6468","CT","USA"
"https://www.zillow.com/homedetails/78-Benedict-Rd-Monroe-CT-06468/57321437_zpid/","24157651","780000","08/28/2026","3458","sqft","225.56","1.24","acres","4","3","78 Benedict Road","Monroe","6468","CT","USA"
"https://www.zillow.com/homedetails/1-Percheron-Dr-Monroe-CT-06468/124133564_zpid/","24189024","895000","08/28/2026","3024","sqft","295.97","3.04","acres","4","3","1 Percheron Drive","Monroe","6468","CT","USA"
"https://www.zillow.com/homedetails/301-Fairmount-Dr-D-Monroe-CT-06468/241281294_zpid/","24189630","385000","08/27/2026","1317","sqft","292.33","","","2","2","301 Fairmount Drive #D","Monroe","6468","CT","USA"
"https://www.zillow.com/homedetails/20-Pequot-Ct-20-Monroe-CT-06468/462883724_zpid/","24178264","717000","08/26/2026","3515","sqft","203.98","","","3","3","20 Pequot Court #20","Monroe","6468","CT","USA"
"https://www.zillow.com/homedetails/277-Spring-Hill-Rd-Monroe-CT-06468/57319300_zpid/","24182222","365000","08/25/2026","758","sqft","481.53","1.58","acres","2","1","277 Spring Hill Road","Monroe","6468","CT","USA"
"https://www.zillow.com/homedetails/23-Grist-Mill-Rd-Monroe-CT-06468/58790324_zpid/","24177715","850000","08/25/2026","2944","sqft","288.72","3.01","acres","4","4","23 Grist Mill Road","Monroe","6468","CT","USA"
"https://www.zillow.com/homedetails/25-Block-Farm-Rd-Monroe-CT-06468/79854862_zpid/","24180908","1125000","08/25/2026","3500","sqft","321.43","0.75","acres","4","4","25 Block Farm Road","Monroe","6468","CT","USA"
"https://www.zillow.com/homedetails/17-Woodlawn-Rd-Monroe-CT-06468/177262044_zpid/","24184704","555000","08/24/2026","2185","sqft","254","1.04","acres","3","3","17 Woodlawn Road","Monroe","6468","CT","USA"
"https://www.zillow.com/homedetails/17-Patmar-Ter-Monroe-CT-06468/57319558_zpid/","","400000","08/21/2026","2024","sqft","197.63","0.69","acres","4","3","17 Patmar Ter","Monroe","6468","CT","USA"
"https://www.zillow.com/homedetails/21-Harmony-Ln-Monroe-CT-06468/58789671_zpid/","24185446","665000","08/21/2026","2643","sqft","251.61","1.24","acres","3","3","21 Harmony Lane","Monroe","6468","CT","USA"
"https://www.zillow.com/homedetails/223-Wheeler-Rd-Monroe-CT-06468/58789364_zpid/","24178305","535000","08/19/2026","1608","sqft","332.71","1.6","acres","4","2","223 Wheeler Road","Monroe","6468","CT","USA"
"https://www.zillow.com/homedetails/176-Cutlers-Farm-Rd-Monroe-CT-06468/57319655_zpid/","24186575","900500","08/18/2026","2816","sqft","319.78","1.15","acres","4","3","176 Cutlers Farm Road","Monroe","6468","CT","USA"
"https://www.zillow.com/homedetails/653-Elm-St-Monroe-CT-06468/57321833_zpid/","","300000","08/17/2026","1512","sqft","198.41","1.13","acres","3","1.5","653 Elm St","Monroe","6468","CT","USA"
