Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/279-Wedgewood-Dr-Naugatuck-CT-06770/58924936_zpid/","24172340","377000","09/14/2026","2072","sqft","181.95","0.47","acres","4","3","279 Wedgewood Drive","Naugatuck","6770","CT","USA"
"https://www.zillow.com/homedetails/27-Salem-St-Naugatuck-CT-06770/58927847_zpid/","24191878","618000","09/11/2026","3605","sqft","171.43","0.33","acres","6","5","27 Salem Street","Naugatuck","6770","CT","USA"
"https://www.zillow.com/homedetails/231-Crestwood-Dr-Naugatuck-CT-06770/58924234_zpid/","24192607","385000","09/08/2026","1425","sqft","270.18","3.1","acres","3","2","231 Crestwood Drive","Naugatuck","6770","CT","USA"
"https://www.zillow.com/homedetails/120-May-St-Naugatuck-CT-06770/174506340_zpid/","24178437","370000","09/08/2026","1321","sqft","280.09","0.52","acres","3","2","120 May Street","Naugatuck","6770","CT","USA"
"https://www.zillow.com/homedetails/119-Lewis-St-Naugatuck-CT-06770/58930369_zpid/","24185888","260000","09/04/2026","880","sqft","295.45","8276.4","sqft","2","1","119 Lewis Street","Naugatuck","6770","CT","USA"
"https://www.zillow.com/homedetails/85-Alma-St-Naugatuck-CT-06770/58925882_zpid/","24190493","357500","09/03/2026","1820","sqft","196.43","0.41","acres","3","2","85 Alma Street","Naugatuck","6770","CT","USA"
"https://www.zillow.com/homedetails/28-Clearview-Cir-Naugatuck-CT-06770/58927861_zpid/","24195234","342000","09/03/2026","2285","sqft","149.67","0.34","acres","3","2","28 Clearview Circle","Naugatuck","6770","CT","USA"
"https://www.zillow.com/homedetails/299-High-St-Naugatuck-CT-06770/58931293_zpid/","24189575","530000","09/03/2026","2497","sqft","212.25","4791.6","sqft","6","3","299 High Street","Naugatuck","6770","CT","USA"
"https://www.zillow.com/homedetails/54-Skyview-Dr-Naugatuck-CT-06770/58924558_zpid/","24190248","385000","09/02/2026","1200","sqft","320.83","0.54","acres","3","1","54 Skyview Drive","Naugatuck","6770","CT","USA"
"https://www.zillow.com/homedetails/39-Visconti-Dr-Naugatuck-CT-06770/58928379_zpid/","24169685","690000","09/02/2026","4159","sqft","165.91","0.9","acres","5","5","39 Visconti Drive","Naugatuck","6770","CT","USA"
"https://www.zillow.com/homedetails/36-Marsh-Hill-Rd-Naugatuck-CT-06770/58923246_zpid/","24191005","400000","08/31/2026","1403","sqft","285.1","0.28","acres","3","2","36 Marsh Hill Road","Naugatuck","6770","CT","USA"
"https://www.zillow.com/homedetails/1081-New-Haven-Rd-APT-12D-Naugatuck-CT-06770/58931972_zpid/","24194063","190000","08/31/2026","1008","sqft","188.49","","","2","2","1081 New Haven Road #12D","Naugatuck","6770","CT","USA"
