Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/185-Middle-Ridge-Rd-New-Canaan-CT-06840/57326980_zpid/","24192365","1910000","09/10/2026","2800","sqft","682.14","2","acres","4","3","185 Middle Ridge Road","New Canaan","6840","CT","USA"
"https://www.zillow.com/homedetails/599-N-Wilton-Rd-New-Canaan-CT-06840/58791080_zpid/","24174420","2300000","09/09/2026","4384","sqft","524.64","4","acres","5","6","599 North Wilton Road","New Canaan","6840","CT","USA"
"https://www.zillow.com/homedetails/61-Sunrise-Ave-New-Canaan-CT-06840/57324835_zpid/","24188612","1835000","09/03/2026","2947","sqft","622.67","10454.4","sqft","4","4","61 Sunrise Avenue","New Canaan","6840","CT","USA"
"https://www.zillow.com/homedetails/277-Indian-Rock-Rd-New-Canaan-CT-06840/57325514_zpid/","24181422","2000000","09/03/2026","0","","","3.24","acres","","","277 Indian Rock Road","New Canaan","6840","CT","USA"
"https://www.zillow.com/homedetails/253-New-Norwalk-Rd-5-New-Canaan-CT-06840/57326609_zpid/","24181388","985000","09/03/2026","2083","sqft","472.88","","","3","3","253 New Norwalk Road #5","New Canaan","6840","CT","USA"
"https://www.zillow.com/homedetails/36-Mortimer-St-New-Canaan-CT-06840/58791258_zpid/","24179113","1770000","09/03/2026","2170","sqft","815.67","6098.4","sqft","3","3","36 Mortimer Street","New Canaan","6840","CT","USA"
"https://www.zillow.com/homedetails/123-Richmond-Hill-Rd-UNIT-18-New-Canaan-CT-06840/57324927_zpid/","24188193","1652000","09/02/2026","2406","sqft","686.62","","","3","4","123 Richmond Hill Road #18","New Canaan","6840","CT","USA"
"https://www.zillow.com/homedetails/235-Hawks-Hill-Rd-New-Canaan-CT-06840/57324382_zpid/","24185279","2450000","09/01/2026","5458","sqft","448.88","2.01","acres","5","6","235 Hawks Hill Road","New Canaan","6840","CT","USA"
"https://www.zillow.com/homedetails/146-Lambert-Rd-New-Canaan-CT-06840/57325480_zpid/","24165514","4700000","09/01/2026","7443","sqft","631.47","2.32","acres","5","8","146 Lambert Road","New Canaan","6840","CT","USA"
"https://www.zillow.com/homedetails/289-New-Norwalk-Rd-31-New-Canaan-CT-06840/57326649_zpid/","24195519","1375000","09/01/2026","2845","sqft","483.3","","","3","3","289 New Norwalk Road #31","New Canaan","6840","CT","USA"
"https://www.zillow.com/homedetails/463-White-Oak-Shade-Rd-New-Canaan-CT-06840/64596250_zpid/","24161019","2300100","09/01/2026","3224","sqft","713.43","2.41","acres","4","3","463 White Oak Shade Road","New Canaan","6840","CT","USA"
"https://www.zillow.com/homedetails/67-Dunning-Rd-New-Canaan-CT-06840/57325112_zpid/","24185083","4200000","08/31/2026","5957","sqft","705.05","2.04","acres","5","7","67 Dunning Road","New Canaan","6840","CT","USA"
"https://www.zillow.com/homedetails/55-New-Norwalk-Rd-New-Canaan-CT-06840/57326443_zpid/","24164026","1110000","08/31/2026","1900","sqft","584.21","8276.4","sqft","5","4","55 New Norwalk Road","New Canaan","6840","CT","USA"
"https://www.zillow.com/homedetails/304-Main-St-New-Canaan-CT-06840/57326726_zpid/","24178770","2200000","08/31/2026","2290","sqft","960.7","0.56","acres","5","4","304 Main Street","New Canaan","6840","CT","USA"
"https://www.zillow.com/homedetails/559-Cheese-Spring-Rd-New-Canaan-CT-06840/57327804_zpid/","24186885","2600000","08/31/2026","4348","sqft","597.98","2.01","acres","5","5","559 Cheese Spring Road","New Canaan","6840","CT","USA"
"https://www.zillow.com/homedetails/91-Lantern-Ridge-Rd-New-Canaan-CT-06840/57328365_zpid/","24175397","2300000","08/31/2026","4550","sqft","505.49","2","acres","4","5","91 Lantern Ridge Road","New Canaan","6840","CT","USA"
"https://www.zillow.com/homedetails/40-Shadow-Ln-New-Canaan-CT-06840/57328385_zpid/","24166891","2660000","08/31/2026","4425","sqft","601.13","2.08","acres","6","5","40 Shadow Lane","New Canaan","6840","CT","USA"
"https://www.zillow.com/homedetails/610-Cheese-Spring-Rd-New-Canaan-CT-06840/58791185_zpid/","24168477","3575000","08/31/2026","5958","sqft","600.03","4.53","acres","4","7","610 Cheese Spring Road","New Canaan","6840","CT","USA"
"https://www.zillow.com/homedetails/63-Garibaldi-Ln-New-Canaan-CT-06840/57327157_zpid/","24189085","2005000","08/28/2026","3744","sqft","535.52","0.53","acres","5","3","63 Garibaldi Lane","New Canaan","6840","CT","USA"
"https://www.zillow.com/homedetails/145-Oenoke-Ln-New-Canaan-CT-06840/2107337901_zpid/","24181415","2636000","08/28/2026","2670","sqft","987.27","","","3","3","145 Oenoke Lane","New Canaan","6840","CT","USA"
"https://www.zillow.com/homedetails/148-Douglas-Rd-New-Canaan-CT-06840/57324297_zpid/","24184857","4350000","08/27/2026","7201","sqft","604.08","0.39","acres","6","6","148 Douglas Road","New Canaan","6840","CT","USA"
"https://www.zillow.com/homedetails/81-Lukes-Wood-Rd-New-Canaan-CT-06840/57325564_zpid/","24180326","4700000","08/27/2026","8505","sqft","552.62","6.2","acres","6","7","81 Lukes Wood Road","New Canaan","6840","CT","USA"
"https://www.zillow.com/homedetails/36-Down-River-Rd-New-Canaan-CT-06840/58790947_zpid/","24171736","1400000","08/27/2026","2010","sqft","696.52","0.35","acres","4","2","36 Down River Road","New Canaan","6840","CT","USA"
"https://www.zillow.com/homedetails/97-Overlook-Dr-New-Canaan-CT-06840/57328532_zpid/","24194440","2100000","08/26/2026","3132","sqft","670.5","1.2","acres","3","3","97 Overlook Drive","New Canaan","6840","CT","USA"
"https://www.zillow.com/homedetails/108-Logan-Rd-New-Canaan-CT-06840/58790729_zpid/","24184790","3325000","08/26/2026","6069","sqft","547.87","5.87","acres","6","8","108 Logan Road","New Canaan","6840","CT","USA"
