Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/44-Chapin-Rd-New-Milford-CT-06776/57805536_zpid/","24186603","549900","09/14/2026","2284","sqft","240.76","1.38","acres","4","3","44 Chapin Road","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/301-Grove-St-New-Milford-CT-06776/57809343_zpid/","24175892","529000","09/11/2026","1686","sqft","313.76","2.37","acres","3","2","301 Grove Street","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/7-Saddle-Ridge-Rd-New-Milford-CT-06776/57810541_zpid/","24174345","630000","09/11/2026","3784","sqft","166.49","2.05","acres","3","3","7 Saddle Ridge Road","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/New-Milford-CT-06776/58862975_zpid/","24181569","477000","09/11/2026","1988","sqft","239.94","0.34","acres","3","2","(undisclosed Address)","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/52-S-Kent-Rd-Gaylordsville-CT-06755/57809286_zpid/","24183264","550000","09/10/2026","1956","sqft","281.19","1.74","acres","3","3","52 South Kent Road","Gaylordsville","6755","CT","USA"
"https://www.zillow.com/homedetails/26-Avery-Rd-New-Milford-CT-06776/58862999_zpid/","24187263","525000","09/10/2026","3060","sqft","171.57","1.54","acres","5","2","26 Avery Road","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/92-Beard-Dr-UNIT-92-New-Milford-CT-06776/2070762395_zpid/","24177389","219900","09/10/2026","746","sqft","294.77","","","1","1","92 Beard Drive #92","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/162-Beard-Dr-162-New-Milford-CT-06776/2101922762_zpid/","24193201","275000","09/10/2026","1115","sqft","246.64","","","2","2","162 Beard Drive #162","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/41-Glen-Ridge-Ct-UNIT-41-New-Milford-CT-06776/2065488215_zpid/","24183079","240000","09/09/2026","919","sqft","261.15","","","1","1","41 Glen Ridge Court #41","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/75-Aspetuck-Vlg-75-New-Milford-CT-06776/452665281_zpid/","24199222","170500","09/08/2026","578","sqft","294.98","","","1","1","75 Aspetuck Village #75","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/5-Belair-Dr-5-New-Milford-CT-06776/2095917414_zpid/","24184804","160000","09/08/2026","840","sqft","190.48","","","2","1","5 Belair Drive #5","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/123-Wynwood-Dr-New-Milford-CT-06776/57805501_zpid/","24187656","505000","09/04/2026","2448","sqft","206.29","0.6","acres","4","2","123 Wynwood Drive","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/39-Standish-Rd-New-Milford-CT-06776/57805405_zpid/","24192857","627000","09/03/2026","2396","sqft","261.69","0.92","acres","4","3","39 Standish Road","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/14-Wood-Creek-Rd-New-Milford-CT-06776/57812408_zpid/","24185513","852500","09/03/2026","3700","sqft","230.41","2.53","acres","4","3","14 Wood Creek Road","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/28-Colonial-Ridge-Dr-Gaylordsville-CT-06755/58862794_zpid/","24181358","606000","09/03/2026","2850","sqft","212.63","0.92","acres","4","3","28 Colonial Ridge Drive","Gaylordsville","6755","CT","USA"
"https://www.zillow.com/homedetails/10-Dawns-Rd-New-Milford-CT-06776/92444614_zpid/","24185181","525000","09/03/2026","2290","sqft","229.26","0.46","acres","3","2","10 Dawns Road","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/106-Town-Farm-Rd-New-Milford-CT-06776/197778417_zpid/","24178925","615000","09/03/2026","2032","sqft","302.66","1.55","acres","4","3","106 Town Farm Road","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/42-Country-Farm-Ln-New-Milford-CT-06776/58863684_zpid/","24185013","716000","09/01/2026","2900","sqft","246.9","1.17","acres","4","3","42 Country Farm Lane","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/23-Town-View-Dr-New-Milford-CT-06776/57810006_zpid/","24195134","385000","08/31/2026","1894","sqft","203.27","0.46","acres","3","1","23 Town View Drive","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/146-Lone-Oak-Dr-New-Milford-CT-06776/57810556_zpid/","24180834","450000","08/31/2026","2024","sqft","222.33","0.47","acres","3","2","146 Lone Oak Drive","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/15-White-Swan-Dr-New-Milford-CT-06776/57810190_zpid/","","380000","08/28/2026","1232","sqft","308.44","0.82","acres","3","1.5","15 White Swan Dr","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/20-Gaylord-Rd-Gaylordsville-CT-06755/57810938_zpid/","24188563","455000","08/28/2026","1725","sqft","263.77","0.51","acres","4","2","20 Gaylord Road","Gaylordsville","6755","CT","USA"
"https://www.zillow.com/homedetails/15-Glen-Ridge-Ct-New-Milford-CT-06776/57811784_zpid/","","229000","08/28/2026","682","sqft","335.78","","","1","1","15 Glen Ridge Ct","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/14-Carlson-Ridge-Ct-New-Milford-CT-06776/63040337_zpid/","","529900","08/28/2026","1931","sqft","274.42","","","2","2","14 Carlson Ridge Ct","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/13-Valley-Dr-13-New-Milford-CT-06776/463701471_zpid/","24189366","312000","08/28/2026","1222","sqft","255.32","","","2","2","13 Valley Drive #13","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/15-Glen-Ridge-Ct-15-New-Milford-CT-06776/2087557684_zpid/","24190877","229000","08/28/2026","682","sqft","335.78","","","1","1","15 Glen Ridge Court #15","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/32-Ferris-Estates-Rd-New-Milford-CT-06776/57806152_zpid/","24151073","1417000","08/27/2026","3800","sqft","372.89","0.52","acres","3","4","32 Ferris Estates Road","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/85-Aspetuck-Vlg-New-Milford-CT-06776/57809505_zpid/","","275000","08/26/2026","1152","sqft","238.72","","","2","1.5","85 Aspetuck Vlg","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/17-Bridle-Rd-New-Milford-CT-06776/57807329_zpid/","","405000","08/25/2026","1948","sqft","207.91","1.43","acres","4","2.5","17 Bridle Rd","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/36-Maple-Dr-New-Milford-CT-06776/57808669_zpid/","24186884","439000","08/25/2026","1069","sqft","410.66","0.26","acres","3","2","36 Maple Drive","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/85-Aspetuck-Vlg-85-New-Milford-CT-06776/2056895670_zpid/","24188845","275000","08/25/2026","1152","sqft","238.72","","","2","2","85 Aspetuck Village #85","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/120-Sullivan-Farm-New-Milford-CT-06776/57812011_zpid/","24161498","550000","08/24/2026","1785","sqft","308.12","","","2","3","120 Sullivan Farm","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/692-Kent-Rd-Gaylordsville-CT-06755/57804904_zpid/","24177639","329000","08/21/2026","1825","sqft","180.27","8712","sqft","2","1","692 Kent Road","Gaylordsville","6755","CT","USA"
"https://www.zillow.com/homedetails/256-Ridge-Rd-New-Milford-CT-06776/57809391_zpid/","24181081","410000","08/20/2026","1144","sqft","358.39","1.24","acres","2","1","256 Ridge Road","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/214-Pumpkin-Hill-Rd-New-Milford-CT-06776/57810412_zpid/","24164006","400000","08/20/2026","1842","sqft","217.16","1.03","acres","3","2","214 Pumpkin Hill Road","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/3-Halletts-Rd-New-Milford-CT-06776/57810789_zpid/","24186966","550500","08/20/2026","1558","sqft","353.34","1.38","acres","3","2","3 Halletts Road","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/23-Twin-Oaks-New-Milford-CT-06776/57811278_zpid/","","280000","08/20/2026","1337","sqft","209.42","","","2","1.5","23 Twin Oaks","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/33-Glen-Ridge-Ct-New-Milford-CT-06776/57811634_zpid/","","260000","08/20/2026","919","sqft","282.92","","","1","1","33 Glen Ridge Ct","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/35-Hillendale-Dr-New-Milford-CT-06776/58863479_zpid/","24126449","415000","08/20/2026","1144","sqft","362.76","0.88","acres","3","2","35 Hillendale Drive","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/23-Twin-Oaks-23-New-Milford-CT-06776/2056915668_zpid/","24182700","280000","08/19/2026","1337","sqft","209.42","","","2","2","23 Twin Oaks #23","New Milford","6776","CT","USA"
"https://www.zillow.com/homedetails/33-Glen-Ridge-Ct-33-New-Milford-CT-06776/2074798760_zpid/","24183716","260000","08/19/2026","919","sqft","282.92","","","1","1","33 Glen Ridge Court #33","New Milford","6776","CT","USA"
