Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/175-Sugar-St-Newtown-CT-06470/57333784_zpid/","24186337","515000","09/15/2026","2606","sqft","197.62","1.75","acres","3","3","175 Sugar Street","Newtown","6470","CT","USA"
"https://www.zillow.com/homedetails/23-Old-Green-Rd-Sandy-Hook-CT-06482/450764661_zpid/","24178959","795000","09/14/2026","2594","sqft","306.48","2","acres","4","3","23 Old Green Road","Sandy Hook","6482","CT","USA"
"https://www.zillow.com/homedetails/3-Saddle-Ridge-Rd-Newtown-CT-06470/57333548_zpid/","24193765","700000","09/11/2026","2704","sqft","258.88","2","acres","4","3","3 Saddle Ridge Road","Newtown","6470","CT","USA"
"https://www.zillow.com/homedetails/832-Brookside-Ct-832-Newtown-CT-06470/2101389675_zpid/","24185197","572500","09/11/2026","1807","sqft","316.82","","","2","2","832 Brookside Court #832","Newtown","6470","CT","USA"
"https://www.zillow.com/homedetails/8-Horseshoe-Ridge-Rd-Sandy-Hook-CT-06482/57334605_zpid/","24187551","1150000","09/10/2026","5451","sqft","210.97","5.66","acres","4","4","8 Horseshoe Ridge Road","Sandy Hook","6482","CT","USA"
"https://www.zillow.com/homedetails/28-Juniper-Rd-Newtown-CT-06470/177283267_zpid/","24194137","550000","09/10/2026","1207","sqft","455.68","0.93","acres","3","2","28 Juniper Road","Newtown","6470","CT","USA"
"https://www.zillow.com/homedetails/18-Great-Hill-Rd-Newtown-CT-06470/57338477_zpid/","24187381","540000","09/08/2026","1682","sqft","321.05","1.42","acres","3","3","18 Great Hill Road","Newtown","6470","CT","USA"
"https://www.zillow.com/homedetails/14-Saw-Mill-Rd-Newtown-CT-06470/58795028_zpid/","24183309","460000","09/08/2026","2724","sqft","168.87","1.01","acres","3","2","14 Saw Mill Road","Newtown","6470","CT","USA"
"https://www.zillow.com/homedetails/15-Valley-View-Rd-Newtown-CT-06470/57335230_zpid/","24180406","697000","09/04/2026","2504","sqft","278.35","0.78","acres","4","3","15 Valley View Road","Newtown","6470","CT","USA"
"https://www.zillow.com/homedetails/89-Brushy-Hill-Rd-Newtown-CT-06470/58793761_zpid/","24178603","760000","09/04/2026","2076","sqft","366.09","2","acres","2","3","89 Brushy Hill Road","Newtown","6470","CT","USA"
"https://www.zillow.com/homedetails/13-Jordan-Hill-Rd-LOT-4-Sandy-Hook-CT-06482/460064988_zpid/","24151394","187500","09/04/2026","0","","","4.62","acres","","","13 Jordan Hill Road Lot #4","Sandy Hook","6482","CT","USA"
"https://www.zillow.com/homedetails/127-Huntingtown-Rd-Newtown-CT-06470/58793864_zpid/","24171380","715000","09/01/2026","2305","sqft","310.2","2.72","acres","3","3","127 Huntingtown Road","Newtown","6470","CT","USA"
"https://www.zillow.com/homedetails/51-Chipmunk-Trl-Sandy-Hook-CT-06482/177271378_zpid/","24173201","496000","09/01/2026","1557","sqft","318.56","0.48","acres","3","3","51 Chipmunk Trail","Sandy Hook","6482","CT","USA"
"https://www.zillow.com/homedetails/15-Purdy-Station-Rd-Newtown-CT-06470/57333610_zpid/","24191302","730000","08/31/2026","2160","sqft","337.96","2.35","acres","4","3","15 Purdy Station Road","Newtown","6470","CT","USA"
"https://www.zillow.com/homedetails/5-Parmalee-Park-Pl-Newtown-CT-06470/57334318_zpid/","24188256","375000","08/31/2026","1076","sqft","348.51","0.94","acres","2","1","5 Parmalee Park Place","Newtown","6470","CT","USA"
"https://www.zillow.com/homedetails/65-Elizabeth-Cir-65-Sandy-Hook-CT-06482/2074802320_zpid/","24176579","420000","08/31/2026","1212","sqft","346.53","","","2","2","65 Elizabeth Circle #65","Sandy Hook","6482","CT","USA"
