Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/30-Ivy-Hill-Rd-30-Waterford-CT-06385/461661158_zpid/","24166803","549000","09/09/2026","1677","sqft","327.37","","","3","2","30 Ivy Hill Road #30","Waterford","6385","CT","USA"
"https://www.zillow.com/homedetails/18-High-Ridge-Dr-Waterford-CT-06385/58088920_zpid/","24191990","520000","09/04/2026","1466","sqft","354.71","0.37","acres","3","2","18 High Ridge Drive","Waterford","6385","CT","USA"
"https://www.zillow.com/homedetails/3-Middle-St-Waterford-CT-06385/58089179_zpid/","24180259","558000","09/04/2026","1711","sqft","326.13","10018.8","sqft","3","2","3 Middle Street","Waterford","6385","CT","USA"
"https://www.zillow.com/homedetails/74-Clark-Ln-Waterford-CT-06385/157602236_zpid/","24156199","360000","09/04/2026","1050","sqft","342.86","10454.4","sqft","3","2","74 Clark Lane","Waterford","6385","CT","USA"
"https://www.zillow.com/homedetails/22-6th-Ave-Waterford-CT-06385/58089104_zpid/","24194516","436500","09/03/2026","1032","sqft","422.97","0.31","acres","3","1","22 Sixth Avenue","Waterford","6385","CT","USA"
"https://www.zillow.com/homedetails/285-Niantic-River-Rd-Waterford-CT-06385/58090881_zpid/","24195817","330000","09/03/2026","1248","sqft","264.42","9147.6","sqft","3","1","285 Niantic River Road","Waterford","6385","CT","USA"
"https://www.zillow.com/homedetails/81-Gallup-Ln-Waterford-CT-06385/58985098_zpid/","24192012","300000","09/02/2026","1497","sqft","200.4","1","acres","4","2","81 Gallup Lane","Waterford","6385","CT","USA"
"https://www.zillow.com/homedetails/171-Old-Norwich-Rd-Quaker-Hill-CT-06375/58093366_zpid/","24184148","340000","08/31/2026","1270","sqft","267.72","0.33","acres","4","1","171 Old Norwich Road","Quaker Hill","6375","CT","USA"
"https://www.zillow.com/homedetails/29-Ivy-Hill-Rd-29-Waterford-CT-06385/461661109_zpid/","24166790","575000","08/31/2026","1575","sqft","365.08","","","3","2","29 Ivy Hill Road #29","Waterford","6385","CT","USA"
"https://www.zillow.com/homedetails/48-Quarry-Rd-Waterford-CT-06385/58087868_zpid/","24195647","680000","08/28/2026","2920","sqft","232.88","0.92","acres","4","4","48 Quarry Road","Waterford","6385","CT","USA"
