Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/21-Branchville-Rd-Ridgefield-CT-06877/58822522_zpid/","24176629","2505000","09/11/2026","4684","sqft","534.8","1","acres","5","5","21 Branchville Road","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/14-Turtle-Ridge-Ct-Ridgefield-CT-06877/57341735_zpid/","24184027","1950000","09/09/2026","5700","sqft","342.11","1.9","acres","5","7","14 Turtle Ridge Court","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/131-Seth-Low-Mountain-Rd-Ridgefield-CT-06877/57342776_zpid/","24196740","1125000","09/09/2026","2528","sqft","445.02","1.75","acres","5","2","131 Seth Low Mountain Road","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/256-Wilton-Rd-E-Ridgefield-CT-06877/57346503_zpid/","24184942","1550000","09/09/2026","3620","sqft","428.18","2.1","acres","4","3","256 Wilton Road East","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/41-Fieldcrest-Dr-Ridgefield-CT-06877/57346545_zpid/","24190617","1100000","09/08/2026","2930","sqft","375.43","1.32","acres","4","3","41 Fieldcrest Drive","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/320-N-Salem-Rd-Ridgefield-CT-06877/57342987_zpid/","24130271","745000","09/04/2026","3244","sqft","229.65","1.77","acres","4","4","320 North Salem Road","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/43-Catoonah-St-Ridgefield-CT-06877/57344749_zpid/","24186227","1930000","09/04/2026","4094","sqft","471.42","0.31","acres","5","5","43 Catoonah Street","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/629-Danbury-Rd-APT-41-Ridgefield-CT-06877/57346591_zpid/","24193301","515000","09/01/2026","1584","sqft","325.13","","","2","3","629 Danbury Road #41","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/3-High-Valley-Rd-Ridgefield-CT-06877/57347009_zpid/","24185905","1150000","09/01/2026","2784","sqft","413.07","2","acres","4","3","3 High Valley Road","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/36-Oneill-Ct-Ridgefield-CT-06877/57341487_zpid/","24185633","1650000","08/31/2026","3059","sqft","539.39","2.21","acres","4","3","36 Oneill Court","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/82-Olcott-Way-UNIT-82-Ridgefield-CT-06877/2080571535_zpid/","","309000","08/31/2026","920","sqft","335.87","","","1","1","82 Olcott Way 82","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/239-Keeler-Dr-Ridgefield-CT-06877/57341388_zpid/","24163127","1350000","08/28/2026","5042","sqft","267.75","2.43","acres","4","4","239 Keeler Drive","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/12-Island-Hill-Ave-Ridgefield-CT-06877/57344175_zpid/","24188560","1296660","08/28/2026","3252","sqft","398.73","0.42","acres","4","4","12 Island Hill Avenue","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/75-Silver-Spring-Ln-Ridgefield-CT-06877/57345283_zpid/","24189169","1150000","08/28/2026","2046","sqft","562.07","2.68","acres","4","3","75 Silver Spring Lane","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/41-Peaceable-St-Ridgefield-CT-06877/58822493_zpid/","24175028","3050000","08/28/2026","6962","sqft","438.09","2.3","acres","5","6","41 Peaceable Street","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/26-Buck-Hill-Rd-Ridgefield-CT-06877/57345546_zpid/","24187586","750000","08/26/2026","2387","sqft","314.2","2.32","acres","3","2","26 Buck Hill Road","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/2-Ginos-Way-Ridgefield-CT-06877/96125313_zpid/","24180361","1940000","08/25/2026","3293","sqft","589.13","0.33","acres","4","4","2 Ginos Way","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/350-West-Ln-Ridgefield-CT-06877/57341341_zpid/","","2775000","08/24/2026","6522","sqft","425.48","4.59","acres","5","7","350 West Ln","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/2-Titus-Pl-Ridgefield-CT-06877/57341642_zpid/","","1175000","08/24/2026","2462","sqft","477.25","0.31","acres","3","3","2 Titus Pl","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/19-Kellogg-St-Ridgefield-CT-06877/57343091_zpid/","24188016","1750000","08/24/2026","3563","sqft","491.16","0.58","acres","4","4","19 Kellogg Street","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/261-Wilton-Rd-E-Ridgefield-CT-06877/57346423_zpid/","","2050000","08/24/2026","7528","sqft","272.32","2.93","acres","5","1","261 Wilton Rd E","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/59-Prospect-St-Ridgefield-CT-06877/249472546_zpid/","","740000","08/24/2026","","","","1.15","acres","","","59 Prospect St","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/564-Barrack-Hill-Rd-Ridgefield-CT-06877/57341522_zpid/","24186329","1350000","08/21/2026","3025","sqft","446.28","3.4","acres","4","4","564 Barrack Hill Road","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/59-Prospect-St-APT-D-Ridgefield-CT-06877/57344701_zpid/","24185476","740000","08/21/2026","2343","sqft","315.83","","","3","3","59 Prospect Street #D","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/350-W-Ln-Ridgefield-CT-06877/2063583561_zpid/","24189733","2775000","08/21/2026","7361","sqft","376.99","4.59","acres","5","7","350 West Lane","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/261-Wilton-Rd-W-Ridgefield-CT-06877/57345133_zpid/","24179517","2050000","08/20/2026","6087","sqft","336.78","2.93","acres","5","4","261 Wilton Road West","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/19-Prospect-Rdg-APT-31-Ridgefield-CT-06877/57346248_zpid/","24187853","779000","08/20/2026","1506","sqft","517.26","","","2","3","19 Prospect Ridge #31","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/19-Hull-Pl-Ridgefield-CT-06877/57346927_zpid/","24168680","1626000","08/20/2026","4536","sqft","358.47","1.57","acres","4","4","19 Hull Place","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/1-Sylvan-Dr-Ridgefield-CT-06877/58822675_zpid/","24189376","717500","08/20/2026","2000","sqft","358.75","0.44","acres","3","2","1 Sylvan Drive","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/59-Rising-Ridge-Rd-Ridgefield-CT-06877/58823136_zpid/","24189499","1526000","08/20/2026","4147","sqft","367.98","1.05","acres","4","4","59 Rising Ridge Road","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/131-Spring-Valley-Rd-Ridgefield-CT-06877/121042873_zpid/","","3550000","08/20/2026","7500","sqft","473.33","9","acres","6","5.5","131 Spring Valley Rd","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/63-Holmes-Rd-Ridgefield-CT-06877/57343284_zpid/","24185746","1525000","08/19/2026","3892","sqft","391.83","1","acres","5","4","63 Holmes Road","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/96-Barrack-Hill-Rd-Ridgefield-CT-06877/57343026_zpid/","24188270","750000","08/18/2026","1546","sqft","485.12","1.08","acres","3","2","96 Barrack Hill Road","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/318-Mountain-Rd-Ridgefield-CT-06877/57343627_zpid/","24172905","585000","08/18/2026","1475","sqft","396.61","7840.8","sqft","2","1","318 Mountain Road","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/67-S-Olmstead-Ln-Ridgefield-CT-06877/57345092_zpid/","24185705","1005000","08/18/2026","1728","sqft","581.6","2.43","acres","3","2","67 South Olmstead Lane","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/41-Nutmeg-Rdg-Ridgefield-CT-06877/57347049_zpid/","24184389","1400000","08/18/2026","5426","sqft","258.02","1.02","acres","4","4","41 Nutmeg Ridge","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/52-Seth-Low-Mountain-Rd-Ridgefield-CT-06877/57342786_zpid/","24182769","975000","08/17/2026","2108","sqft","462.52","1","acres","4","3","52 Seth Low Mountain Road","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/139-Seth-Low-Mountain-Rd-Ridgefield-CT-06877/57342777_zpid/","24184716","1100000","08/14/2026","3218","sqft","341.83","1.17","acres","4","3","139 Seth Low Mountain Road","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/46-Todds-Rd-Ridgefield-CT-06877/58821861_zpid/","24172517","850000","08/14/2026","2368","sqft","358.95","1.1","acres","3","3","46 Todds Road","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/549-Branchville-Rd-Ridgefield-CT-06877/58823221_zpid/","24191145","850000","08/14/2026","1900","sqft","447.37","2.92","acres","3","2","549 Branchville Road","Ridgefield","6877","CT","USA"
"https://www.zillow.com/homedetails/44-Langstroth-Dr-Ridgefield-CT-06877/58821810_zpid/","","800000","08/13/2026","2474","sqft","323.36","1","acres","5","2.5","44 Langstroth Dr","Ridgefield","6877","CT","USA"
