Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/459-Fisher-Ct-459-Shelton-CT-06484/463241215_zpid/","24183567","610000","09/15/2026","2143","sqft","284.65","","","2","3","459 Fisher Court #459","Shelton","6484","CT","USA"
"https://www.zillow.com/homedetails/18-Colonial-Vlg-18-Shelton-CT-06484/2056892697_zpid/","24166255","256000","09/15/2026","1224","sqft","209.15","","","2","2","18 Colonial Village #18","Shelton","6484","CT","USA"
"https://www.zillow.com/homedetails/11-Cribbins-Ave-Shelton-CT-06484/57350778_zpid/","24177982","570000","09/14/2026","1917","sqft","297.34","0.28","acres","3","3","11 Cribbins Avenue","Shelton","6484","CT","USA"
"https://www.zillow.com/homedetails/47-Autumn-Ridge-Rd-Shelton-CT-06484/57353554_zpid/","24183710","745000","09/11/2026","2634","sqft","282.84","1.01","acres","4","3","47 Autumn Ridge Road","Shelton","6484","CT","USA"
"https://www.zillow.com/homedetails/954-Howe-Ave-Shelton-CT-06484/57351077_zpid/","24189391","530000","09/09/2026","1780","sqft","297.75","2.24","acres","3","3","954 Howe Avenue","Shelton","6484","CT","USA"
"https://www.zillow.com/homedetails/135-Heather-Rdg-135-Shelton-CT-06484/2097819978_zpid/","24199781","230000","09/09/2026","696","sqft","330.46","","","1","1","135 Heather Ridge #135","Shelton","6484","CT","USA"
"https://www.zillow.com/homedetails/31-Sunset-Dr-Shelton-CT-06484/57355479_zpid/","24192705","480000","09/04/2026","1054","sqft","455.41","0.28","acres","2","2","31 Sunset Drive","Shelton","6484","CT","USA"
"https://www.zillow.com/homedetails/83-Myrtle-St-UNIT-83-Shelton-CT-06484/2063606591_zpid/","24193676","325000","09/04/2026","1024","sqft","317.38","","","2","1","83 Myrtle Street #83","Shelton","6484","CT","USA"
"https://www.zillow.com/homedetails/74-New-St-Shelton-CT-06484/57350864_zpid/","24188146","522000","09/02/2026","1896","sqft","275.32","4791.6","sqft","5","2","74 New Street","Shelton","6484","CT","USA"
"https://www.zillow.com/homedetails/646-Howe-Ave-APT-8-Shelton-CT-06484/57350244_zpid/","24189929","255000","09/01/2026","812","sqft","314.04","","","2","1","646 Howe Avenue #8","Shelton","6484","CT","USA"
"https://www.zillow.com/homedetails/91-Booth-Hill-Rd-Shelton-CT-06484/57357292_zpid/","24176583","750000","09/01/2026","4258","sqft","176.14","1.05","acres","5","4","91 Booth Hill Road","Shelton","6484","CT","USA"
"https://www.zillow.com/homedetails/77-Wells-Ave-Shelton-CT-06484/96121371_zpid/","24189654","549000","09/01/2026","2208","sqft","248.64","6098.4","sqft","3","3","77 Wells Avenue","Shelton","6484","CT","USA"
"https://www.zillow.com/homedetails/215-Prospect-Ave-Shelton-CT-06484/58823712_zpid/","24184573","465000","08/31/2026","1111","sqft","418.54","0.34","acres","3","2","215 Prospect Avenue","Shelton","6484","CT","USA"
"https://www.zillow.com/homedetails/194-Summerfield-Gdns-194-Shelton-CT-06484/2056897267_zpid/","24188209","490000","08/31/2026","1474","sqft","332.43","","","2","2","194 Summerfield Gardens #194","Shelton","6484","CT","USA"
"https://www.zillow.com/homedetails/13-L-Hermitage-Dr-13-Shelton-CT-06484/2098907908_zpid/","24195217","540000","08/29/2026","1844","sqft","292.84","","","3","3","13 L Hermitage Drive #13","Shelton","6484","CT","USA"
"https://www.zillow.com/homedetails/9-Hull-St-Shelton-CT-06484/57349528_zpid/","24181824","585000","08/28/2026","1984","sqft","294.86","3049.2","sqft","8","3","9 Hull Street","Shelton","6484","CT","USA"
