Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/122-Heritage-Vlg-B-Southbury-CT-06488/174463842_zpid/","24169870","348000","09/14/2026","1432","sqft","243.02","","","2","2","122 Heritage Village #B","Southbury","6488","CT","USA"
"https://www.zillow.com/homedetails/155-Deer-Hill-Rd-Southbury-CT-06488/58946916_zpid/","24198227","500000","09/11/2026","2232","sqft","224.01","3.05","acres","3","3","155 Deer Hill Road","Southbury","6488","CT","USA"
"https://www.zillow.com/homedetails/297-N-Poverty-Rd-Southbury-CT-06488/58947165_zpid/","24189337","635000","09/11/2026","2878","sqft","220.64","2.86","acres","4","3","297 North Poverty Road","Southbury","6488","CT","USA"
"https://www.zillow.com/homedetails/201-Berkshire-Rd-Southbury-CT-06488/57990716_zpid/","24183963","220000","09/10/2026","1312","sqft","167.68","10018.8","sqft","3","1","201 Berkshire Road","Southbury","6488","CT","USA"
"https://www.zillow.com/homedetails/22-Heritage-Cir-A-Southbury-CT-06488/57994378_zpid/","24159929","310000","09/10/2026","1398","sqft","221.75","","","2","2","22 Heritage Circle #A","Southbury","6488","CT","USA"
"https://www.zillow.com/homedetails/892-Heritage-Vlg-A-Southbury-CT-06488/57994569_zpid/","24184801","410000","09/10/2026","1398","sqft","293.28","","","2","2","892 Heritage Village #A","Southbury","6488","CT","USA"
"https://www.zillow.com/homedetails/598-Heritage-Vlg-A-Southbury-CT-06488/58947998_zpid/","24191092","342009","09/10/2026","1398","sqft","244.64","","","2","2","598 Heritage Village #A","Southbury","6488","CT","USA"
"https://www.zillow.com/homedetails/8-Minuteman-Cir-8-Southbury-CT-06488/63073924_zpid/","24193893","630000","09/10/2026","2600","sqft","242.31","","","4","3","8 Minuteman Circle #8","Southbury","6488","CT","USA"
"https://www.zillow.com/homedetails/148-Colonial-Dr-Southbury-CT-06488/57990888_zpid/","24173019","570000","09/09/2026","2428","sqft","234.76","1.07","acres","4","3","148 Colonial Drive","Southbury","6488","CT","USA"
"https://www.zillow.com/homedetails/29-Heritage-Vlg-D-Southbury-CT-06488/57995635_zpid/","24180713","292000","09/09/2026","1076","sqft","271.38","","","2","2","29 Heritage Village #D","Southbury","6488","CT","USA"
"https://www.zillow.com/homedetails/419-Heritage-Vlg-E-Southbury-CT-06488/57993952_zpid/","24152323","450000","09/08/2026","1716","sqft","262.24","","","3","2","419 Heritage Village #E","Southbury","6488","CT","USA"
"https://www.zillow.com/homedetails/101-Heritage-Vlg-D-Southbury-CT-06488/57995615_zpid/","24161993","170000","09/08/2026","1076","sqft","157.99","","","2","2","101 Heritage Village #D","Southbury","6488","CT","USA"
"https://www.zillow.com/homedetails/272-Peter-Rd-Southbury-CT-06488/58947233_zpid/","24194227","460000","09/04/2026","1482","sqft","310.39","2.6","acres","3","2","272 Peter Road","Southbury","6488","CT","USA"
"https://www.zillow.com/homedetails/1003-Heritage-Vlg-B-Southbury-CT-06488/57994587_zpid/","24194571","318500","09/03/2026","1398","sqft","227.83","","","2","2","1003 Heritage Village #B","Southbury","6488","CT","USA"
"https://www.zillow.com/homedetails/356-Heritage-Vlg-C-Southbury-CT-06488/57995525_zpid/","24191458","205000","09/03/2026","1032","sqft","198.64","","","2","2","356 Heritage Village #C","Southbury","6488","CT","USA"
