Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/2-Woodridge-Ct-Southington-CT-06489/60010002_zpid/","24191906","550000","09/15/2026","1806","sqft","304.54","0.46","acres","3","2","2 Woodridge Court","Southington","6489","CT","USA"
"https://www.zillow.com/homedetails/321-Songbird-Ln-321-Southington-CT-06489/2057400991_zpid/","24199706","287500","09/14/2026","1212","sqft","237.21","","","2","1","321 Songbird Lane #321","Southington","6489","CT","USA"
"https://www.zillow.com/homedetails/61-Berkley-Ave-Southington-CT-06489/60004448_zpid/","24194445","329000","09/11/2026","1044","sqft","315.13","0.3","acres","4","1","61 Berkley Avenue","Southington","6489","CT","USA"
"https://www.zillow.com/homedetails/80-Acre-Way-Southington-CT-06489/82594537_zpid/","24186209","770000","09/11/2026","2422","sqft","317.92","0.99","acres","3","3","80 Acre Way","Southington","6489","CT","USA"
"https://www.zillow.com/homedetails/853-Glacier-Way-UNIT-853-Southington-CT-06489/2066988328_zpid/","24199208","366750","09/11/2026","1226","sqft","299.14","","","2","2","853 Glacier Way #853","Southington","6489","CT","USA"
"https://www.zillow.com/homedetails/173-Wonx-Spring-Rd-Plantsville-CT-06479/60003795_zpid/","24196863","380000","09/10/2026","1421","sqft","267.42","6534","sqft","4","2","173 Wonx Spring Road","Plantsville","6479","CT","USA"
"https://www.zillow.com/homedetails/107-Holly-Hill-Dr-Southington-CT-06489/60006545_zpid/","24193416","715000","09/09/2026","2896","sqft","246.89","0.52","acres","4","4","107 Holly Hill Drive","Southington","6489","CT","USA"
"https://www.zillow.com/homedetails/92-Highwood-Ave-Southington-CT-06489/60015114_zpid/","24179722","285000","09/09/2026","1620","sqft","175.93","0.27","acres","3","2","92 Highwood Avenue","Southington","6489","CT","USA"
"https://www.zillow.com/homedetails/253-Carriage-Dr-253-Southington-CT-06489/60005621_zpid/","24195317","316000","09/08/2026","1152","sqft","274.31","","","2","2","253 Carriage Drive #253","Southington","6489","CT","USA"
"https://www.zillow.com/homedetails/20-Valley-Forge-Ct-Southington-CT-06489/60014986_zpid/","24148533","610000","09/08/2026","1432","sqft","425.98","0.52","acres","3","2","20 Valley Forge Court","Southington","6489","CT","USA"
"https://www.zillow.com/homedetails/36-Buckland-St-31-Southington-CT-06489/63526682_zpid/","24193071","625000","09/08/2026","1873","sqft","333.69","","","3","3","36 Buckland Street #31","Southington","6489","CT","USA"
"https://www.zillow.com/homedetails/349-Marion-Ave-27-Southington-CT-06479/455231001_zpid/","24113360","587200","09/08/2026","1782","sqft","329.52","2178","sqft","3","2","349 Marion Avenue #27","Southington","6479","CT","USA"
"https://www.zillow.com/homedetails/62-Longo-Dr-Southington-CT-06489/462623332_zpid/","24177441","655000","09/08/2026","2640","sqft","248.11","0.72","acres","6","4","62 Longo Drive","Southington","6489","CT","USA"
"https://www.zillow.com/homedetails/217-Dunham-St-TRAILER-3-Southington-CT-06489/60008309_zpid/","24192420","155000","09/04/2026","920","sqft","168.48","","","3","2","217 Dunham Street LOT 3","Southington","6489","CT","USA"
"https://www.zillow.com/homedetails/12-Darling-St-APT-C-Southington-CT-06489/241204196_zpid/","24189837","180000","09/04/2026","788","sqft","228.43","","","1","1","12 Darling Street #C","Southington","6489","CT","USA"
"https://www.zillow.com/homedetails/402-Lakeview-Dr-UNIT-402-Southington-CT-06489/463366872_zpid/","24185559","339000","09/04/2026","1188","sqft","285.35","","","2","2","402 Lakeview Drive #402","Southington","6489","CT","USA"
"https://www.zillow.com/homedetails/101-Wedgewood-Rd-Southington-CT-06489/60012375_zpid/","24186863","700000","09/02/2026","3119","sqft","224.43","0.93","acres","4","4","101 Wedgewood Road","Southington","6489","CT","USA"
"https://www.zillow.com/homedetails/1384-West-St-Southington-CT-06489/60011056_zpid/","24144011","285000","09/01/2026","1008","sqft","282.74","0.86","acres","3","1","1384 West Street","Southington","6489","CT","USA"
"https://www.zillow.com/homedetails/150-Burritt-St-6J-Southington-CT-06489/60001861_zpid/","24192004","290000","08/31/2026","1188","sqft","244.11","","","3","2","150 Burritt Street #6J","Southington","6489","CT","USA"
"https://www.zillow.com/homedetails/1020-Savage-St-Southington-CT-06489/60003615_zpid/","24183577","733000","08/31/2026","4379","sqft","167.39","0.94","acres","3","3","1020 Savage Street","Southington","6489","CT","USA"
"https://www.zillow.com/homedetails/160-Flanders-Rd-Southington-CT-06489/60006778_zpid/","24193263","465000","08/31/2026","1875","sqft","248","0.65","acres","4","2","160 Flanders Road","Southington","6489","CT","USA"
"https://www.zillow.com/homedetails/95-Yorktown-Rd-Southington-CT-06489/60013088_zpid/","24192530","505000","08/31/2026","1484","sqft","340.3","0.52","acres","4","3","95 Yorktown Road","Southington","6489","CT","USA"
"https://www.zillow.com/homedetails/785-Woodruff-St-Southington-CT-06489/60014419_zpid/","24193128","430000","08/31/2026","1656","sqft","259.66","0.57","acres","3","2","785 Woodruff Street","Southington","6489","CT","USA"
"https://www.zillow.com/homedetails/36-Buckland-St-35-Southington-CT-06489/174088362_zpid/","24195992","490000","08/31/2026","1400","sqft","350","","","2","3","36 Buckland Street #35","Southington","6489","CT","USA"
"https://www.zillow.com/homedetails/82-Cianci-Dr-Southington-CT-06489/174095261_zpid/","24148621","443000","08/31/2026","1314","sqft","337.14","1.3","acres","3","2","82 Cianci Drive","Southington","6489","CT","USA"
"https://www.zillow.com/homedetails/15-Darling-St-APT-A-Southington-CT-06489/174096719_zpid/","24194342","285000","08/31/2026","1200","sqft","237.5","","","3","2","15 Darling Street #A","Southington","6489","CT","USA"
"https://www.zillow.com/homedetails/65-Trotters-Ln-Plantsville-CT-06479/60001448_zpid/","24193492","693450","08/28/2026","2310","sqft","300.19","0.55","acres","3","3","65 Trotters Lane","Plantsville","6479","CT","USA"
"https://www.zillow.com/homedetails/88-Lawncrest-Dr-Southington-CT-06489/174086341_zpid/","24190425","395000","08/28/2026","1152","sqft","342.88","10018.8","sqft","3","1","88 Lawncrest Drive","Southington","6489","CT","USA"
"https://www.zillow.com/homedetails/26-S-Plains-Rd-Southington-CT-06489/174092827_zpid/","24180852","530000","08/28/2026","2155","sqft","245.94","0.28","acres","3","3","26 South Plains Road","Southington","6489","CT","USA"
"https://www.zillow.com/homedetails/6-Charles-St-Plantsville-CT-06479/464261065_zpid/","24195200","325000","08/28/2026","1040","sqft","312.5","9147.6","sqft","2","2","6 Charles Street","Plantsville","6479","CT","USA"
"https://www.zillow.com/homedetails/62-S-Center-St-Southington-CT-06489/60005278_zpid/","24189564","525000","08/27/2026","1944","sqft","270.06","4356","sqft","4","3","62 South Center Street","Southington","6489","CT","USA"
"https://www.zillow.com/homedetails/9-Carter-Hts-Plantsville-CT-06479/60015190_zpid/","","290000","08/27/2026","1240","sqft","233.87","","","2","2","9 Carter Hts","Plantsville","6479","CT","USA"
"https://www.zillow.com/homedetails/201-Atwater-St-Plantsville-CT-06479/464886091_zpid/","","575000","08/27/2026","6485","sqft","88.67","","","0","1","201 Atwater St","Plantsville","6479","CT","USA"
"https://www.zillow.com/homedetails/1048-S-Main-St-15-Southington-CT-06489/60001976_zpid/","","180000","08/26/2026","1678","sqft","107.27","","","2","3","1048 S Main St #15","Southington","6489","CT","USA"
"https://www.zillow.com/homedetails/215-Rockwood-Dr-Southington-CT-06489/60013382_zpid/","24187547","875000","08/26/2026","3502","sqft","249.86","0.92","acres","5","4","215 Rockwood Drive","Southington","6489","CT","USA"
"https://www.zillow.com/homedetails/46-Old-Oak-Ct-Southington-CT-06489/241090226_zpid/","24193094","718000","08/26/2026","2690","sqft","266.91","0.28","acres","4","3","46 Old Oak Court","Southington","6489","CT","USA"
"https://www.zillow.com/homedetails/250-Summer-St-1G-Southington-CT-06489/60004697_zpid/","","340000","08/25/2026","1120","sqft","303.57","","","2","2","250 Summer St #1G","Southington","6489","CT","USA"
"https://www.zillow.com/homedetails/45-Macintosh-Way-Southington-CT-06489/82597796_zpid/","24168431","805000","08/25/2026","3022","sqft","266.38","0.52","acres","3","3","45 Macintosh Way","Southington","6489","CT","USA"
"https://www.zillow.com/homedetails/9-Carter-Hts-9-Plantsville-CT-06479/439642775_zpid/","24188119","290000","08/25/2026","1840","sqft","157.61","","","3","2","9 Carter Heights #9","Plantsville","6479","CT","USA"
"https://www.zillow.com/homedetails/349-Marion-Ave-18-Southington-CT-06479/458119613_zpid/","24139393","603700","08/25/2026","1833","sqft","329.35","2178","sqft","3","2","349 Marion Avenue #18","Southington","6479","CT","USA"
"https://www.zillow.com/homedetails/317-Carter-Ln-Southington-CT-06489/60004364_zpid/","","135000","08/24/2026","1092","sqft","123.63","0.29","acres","3","1.5","317 Carter Ln","Southington","6489","CT","USA"
