Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/88-Stafford-St-Stafford-Springs-CT-06076/116210847_zpid/","24156948","320000","09/11/2026","0","","","46.97","acres","","","88 Stafford Street","Stafford Springs","6076","CT","USA"
"https://www.zillow.com/homedetails/14-Goodell-Rd-Stafford-Springs-CT-06076/119314196_zpid/","73523902","55000","09/10/2026","","","","1.37","acres","","0","14 Goodell Rd","Stafford Springs","6076","CT","USA"
"https://www.zillow.com/homedetails/143-Monson-Rd-Stafford-Springs-CT-06076/59000137_zpid/","24179840","308000","09/09/2026","1907","sqft","161.51","0.92","acres","3","2","143 Monson Road","Stafford Springs","6076","CT","USA"
"https://www.zillow.com/homedetails/12-Hillcrest-Dr-Stafford-Springs-CT-06076/119313006_zpid/","24170150","482500","09/01/2026","1600","sqft","301.56","1.16","acres","3","3","12 Hillcrest Drive","Stafford Springs","6076","CT","USA"
"https://www.zillow.com/homedetails/194-Orcuttville-Rd-Stafford-Springs-CT-06076/119313831_zpid/","170566338","97000","08/17/2026","","","","3.48","acres","","","194 Orcuttville Road","Stafford Springs","6076","CT","USA"
"https://www.zillow.com/homedetails/286-East-St-Stafford-Springs-CT-06076/119314307_zpid/","24164717","78000","08/12/2026","0","","","4.52","acres","","","286 East Street","Stafford Springs","6076","CT","USA"
"https://www.zillow.com/homedetails/24-Dunay-Rd-Stafford-Springs-CT-06076/58101998_zpid/","24178259","442000","08/05/2026","1902","sqft","232.39","0.87","acres","4","2","24 Dunay Road","Stafford Springs","6076","CT","USA"
"https://www.zillow.com/homedetails/6-Buckley-Hwy-Stafford-Springs-CT-06076/58104068_zpid/","24176423","430000","07/29/2026","1760","sqft","244.32","1.01","acres","4","3","6 Buckley Highway","Stafford Springs","6076","CT","USA"
"https://www.zillow.com/homedetails/150-East-St-Stafford-Springs-CT-06076/58102856_zpid/","","156750","07/27/2026","1188","sqft","131.94","10018","sqft","2","1","150 East St","Stafford Springs","6076","CT","USA"
"https://www.zillow.com/homedetails/16-Goodell-Rd-Stafford-Springs-CT-06076/119313513_zpid/","24156918","55000","07/24/2026","0","","","1.19","acres","","","16 Goodell Road","Stafford Springs","6076","CT","USA"
"https://www.zillow.com/homedetails/131-East-St-Stafford-Springs-CT-06076/58103948_zpid/","","270126","07/15/2026","1560","sqft","173.16","0.69","acres","3","2","131 East St","Stafford Springs","6076","CT","USA"
"https://www.zillow.com/homedetails/49-Upper-Rd-Stafford-Springs-CT-06076/58102406_zpid/","24168003","699000","06/30/2026","2982","sqft","234.41","10.01","acres","4","3","49 Upper Road","Stafford Springs","6076","CT","USA"
"https://www.zillow.com/homedetails/14-Spellman-Rd-Stafford-Springs-CT-06076/207175425_zpid/","24175585","150000","06/26/2026","0","","","10.81","acres","","","14 Spellman Road","Stafford Springs","6076","CT","USA"
"https://www.zillow.com/homedetails/27-Spellman-Rd-Stafford-Springs-CT-06076/462482428_zpid/","24175592","60000","06/26/2026","0","","","10","acres","","","27 Spellman Road","Stafford Springs","6076","CT","USA"
"https://www.zillow.com/homedetails/77-Old-Monson-Rd-Stafford-Springs-CT-06076/58102337_zpid/","24163229","530000","06/11/2026","2167","sqft","244.58","4.2","acres","4","2","77 Old Monson Road","Stafford Springs","6076","CT","USA"
"https://www.zillow.com/homedetails/28-Goodell-Rd-Stafford-Springs-CT-06076/119313830_zpid/","24157874","485000","06/09/2026","2100","sqft","230.95","0.92","acres","3","3","28 Goodell Road","Stafford Springs","6076","CT","USA"
"https://www.zillow.com/homedetails/66-Leonard-Rd-Stafford-Springs-CT-06076/59000118_zpid/","24172236","550000","06/08/2026","2404","sqft","228.79","3.9","acres","5","1","66 Leonard Road","Stafford Springs","6076","CT","USA"
"https://www.zillow.com/homedetails/68-Orcuttville-Rd-Stafford-Springs-CT-06076/58102763_zpid/","24168605","511700","06/03/2026","3243","sqft","157.79","1.16","acres","4","4","68 Orcuttville Road","Stafford Springs","6076","CT","USA"
"https://www.zillow.com/homedetails/119-Hydeville-Rd-Stafford-Springs-CT-06076/59000142_zpid/","73511054","788000","05/28/2026","1576","sqft","500","25","acres","2","2","119 Hydeville Rd","Stafford Springs","6076","CT","USA"
"https://www.zillow.com/homedetails/91-Old-Monson-Rd-Stafford-Springs-CT-06076/58102341_zpid/","24169893","440000","05/15/2026","1456","sqft","302.2","2.35","acres","3","1","91 Old Monson Road","Stafford Springs","6076","CT","USA"
"https://www.zillow.com/homedetails/125-East-St-Stafford-Springs-CT-06076/58103949_zpid/","24164830","345000","05/14/2026","1056","sqft","326.7","4.5","acres","3","2","125 East Street","Stafford Springs","6076","CT","USA"
"https://www.zillow.com/homedetails/4-Leonard-Rd-Stafford-Springs-CT-06076/58102917_zpid/","73445925","340000","05/13/2026","1840","sqft","184.78","0.4","acres","4","2","4 Leonard Rd","Stafford Springs","6076","CT","USA"
"https://www.zillow.com/homedetails/166-East-St-Stafford-Springs-CT-06076/58102858_zpid/","24198345","250000","05/07/2026","1422","sqft","175.81","2.7","acres","3","2","166 East Street","Stafford Springs","6076","CT","USA"
"https://www.zillow.com/homedetails/143-Furnace-Ave-Stafford-Springs-CT-06076/58102849_zpid/","24155760","380000","03/31/2026","1420","sqft","267.61","0.97","acres","3","2","143 Furnace Avenue","Stafford Springs","6076","CT","USA"
