Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/7-Cedar-Crest-Rd-Trumbull-CT-06611/57406323_zpid/","24190895","570000","09/14/2026","1981","sqft","287.73","0.47","acres","3","2","7 Cedar Crest Road","Trumbull","6611","CT","USA"
"https://www.zillow.com/homedetails/49-Moose-Hill-Rd-Trumbull-CT-06611/57404930_zpid/","24196456","722000","09/11/2026","3057","sqft","236.18","1.58","acres","5","3","49 Moose Hill Road","Trumbull","6611","CT","USA"
"https://www.zillow.com/homedetails/36-Lobsterback-Rd-Trumbull-CT-06611/57407958_zpid/","24191666","1185000","09/10/2026","4307","sqft","275.13","1.01","acres","4","3","36 Lobsterback Road","Trumbull","6611","CT","USA"
"https://www.zillow.com/homedetails/31-Melrose-Ave-Trumbull-CT-06611/58836466_zpid/","24195152","815000","09/10/2026","2520","sqft","323.41","0.3","acres","3","3","31 Melrose Avenue","Trumbull","6611","CT","USA"
"https://www.zillow.com/homedetails/36-Bunker-Hill-Dr-Trumbull-CT-06611/57402095_zpid/","24185831","760000","09/08/2026","2029","sqft","374.57","1.05","acres","3","2","36 Bunker Hill Drive","Trumbull","6611","CT","USA"
"https://www.zillow.com/homedetails/48-Linley-Rd-Trumbull-CT-06611/57404340_zpid/","24186040","611000","09/04/2026","1456","sqft","419.64","0.44","acres","4","2","48 Linley Road","Trumbull","6611","CT","USA"
"https://www.zillow.com/homedetails/6-Norwood-Ter-Trumbull-CT-06611/57404390_zpid/","24195699","806000","09/04/2026","2797","sqft","288.17","0.37","acres","4","3","6 Norwood Terrace","Trumbull","6611","CT","USA"
"https://www.zillow.com/homedetails/95-Lake-Ave-Trumbull-CT-06611/57401215_zpid/","24196397","444000","09/02/2026","1461","sqft","303.9","0.32","acres","3","1","95 Lake Avenue","Trumbull","6611","CT","USA"
"https://www.zillow.com/homedetails/100-Old-Dike-Rd-Trumbull-CT-06611/57406294_zpid/","24184779","950000","09/02/2026","2100","sqft","452.38","0.78","acres","4","3","100 Old Dike Road","Trumbull","6611","CT","USA"
"https://www.zillow.com/homedetails/12-Chatfield-Dr-Trumbull-CT-06611/57401880_zpid/","24174801","612000","09/01/2026","1828","sqft","334.79","0.29","acres","3","2","12 Chatfield Drive","Trumbull","6611","CT","USA"
"https://www.zillow.com/homedetails/7-Thorburn-Ave-Trumbull-CT-06611/57404561_zpid/","24192804","600000","08/31/2026","1772","sqft","338.6","0.26","acres","3","2","7 Thorburn Avenue","Trumbull","6611","CT","USA"
"https://www.zillow.com/homedetails/5195-Madison-Ave-Trumbull-CT-06611/57399796_zpid/","24182400","582500","08/28/2026","1717","sqft","339.25","1.64","acres","3","2","5195 Madison Avenue","Trumbull","6611","CT","USA"
"https://www.zillow.com/homedetails/18-Ridgebury-Dr-Trumbull-CT-06611/57402056_zpid/","24142808","437000","08/28/2026","2012","sqft","217.2","0.5","acres","3","3","18 Ridgebury Drive","Trumbull","6611","CT","USA"
"https://www.zillow.com/homedetails/9-George-St-Trumbull-CT-06611/58836145_zpid/","24194234","560000","08/28/2026","1709","sqft","327.68","0.25","acres","3","2","9 George Street","Trumbull","6611","CT","USA"
