Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/78-Willie-Cir-Tolland-CT-06084/59001466_zpid/","24199177","400000","09/14/2026","1104","sqft","362.32","0.71","acres","3","2","78 Willie Circle","Tolland","6084","CT","USA"
"https://www.zillow.com/homedetails/67-Pine-Hill-Rd-Tolland-CT-06084/59004751_zpid/","24164562","449900","09/14/2026","2854","sqft","157.64","1.1","acres","4","3","67 Pine Hill Road","Tolland","6084","CT","USA"
"https://www.zillow.com/homedetails/523-Tolland-Stage-Rd-Tolland-CT-06084/62554124_zpid/","24192672","601700","09/11/2026","2889","sqft","208.27","2.33","acres","4","3","523 Tolland Stage Road","Tolland","6084","CT","USA"
"https://www.zillow.com/homedetails/17-Bonair-Rd-Tolland-CT-06084/59000686_zpid/","24195005","475000","09/09/2026","2388","sqft","198.91","5.47","acres","3","2","17 Bonair Road","Tolland","6084","CT","USA"
"https://www.zillow.com/homedetails/8-Thomas-Dr-Tolland-CT-06084/59003220_zpid/","24194403","625000","09/09/2026","2666","sqft","234.43","1.52","acres","3","4","8 Thomas Drive","Tolland","6084","CT","USA"
"https://www.zillow.com/homedetails/32-Josephine-Way-Tolland-CT-06084/109776791_zpid/","24029378","114900","09/04/2026","0","","","2.08","acres","","","32 Josephine Way","Tolland","6084","CT","USA"
"https://www.zillow.com/homedetails/388-Tolland-Stage-Rd-Tolland-CT-06084/59001790_zpid/","24183749","391000","09/02/2026","2500","sqft","156.4","2.3","acres","4","2","388 Tolland Stage Road","Tolland","6084","CT","USA"
"https://www.zillow.com/homedetails/46-Old-Stafford-Rd-Tolland-CT-06084/59002955_zpid/","24164945","390000","09/02/2026","1353","sqft","288.25","2.2","acres","3","2","46 Old Stafford Road","Tolland","6084","CT","USA"
"https://www.zillow.com/homedetails/52-Willie-Cir-Tolland-CT-06084/59001462_zpid/","24187612","400000","09/01/2026","1368","sqft","292.4","0.73","acres","3","3","52 Willie Circle","Tolland","6084","CT","USA"
"https://www.zillow.com/homedetails/119-Grant-Hill-Rd-Tolland-CT-06084/207199906_zpid/","24182806","427000","08/31/2026","1603","sqft","266.38","0.92","acres","3","2","119 Grant Hill Road","Tolland","6084","CT","USA"
