Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/17-Riverside-Dr-Vernon-CT-06066/60107315_zpid/","24133349","471000","09/14/2026","2664","sqft","176.8","0.52","acres","4","3","17 Riverside Drive","Vernon","6066","CT","USA"
"https://www.zillow.com/homedetails/100-Dobson-Rd-APT-16-Vernon-CT-06066/207181634_zpid/","24193766","338500","09/14/2026","1420","sqft","238.38","","","2","3","100 Dobson Road #16","Vernon","6066","CT","USA"
"https://www.zillow.com/homedetails/217-Echo-Dr-Vernon-CT-06066/60104994_zpid/","24192874","440000","09/11/2026","1884","sqft","233.55","0.84","acres","3","3","217 Echo Drive","Vernon","6066","CT","USA"
"https://www.zillow.com/homedetails/16-Vernon-Ave-APT-8-Vernon-CT-06066/60105110_zpid/","24185861","340000","09/11/2026","3354","sqft","101.37","","","2","3","16 Vernon Avenue #8","Vernon","6066","CT","USA"
"https://www.zillow.com/homedetails/26-Pearl-Dr-Vernon-CT-06066/60106512_zpid/","24193335","430000","09/11/2026","1857","sqft","231.56","0.62","acres","4","3","26 Pearl Drive","Vernon","6066","CT","USA"
"https://www.zillow.com/homedetails/69-Franklin-St-Vernon-CT-06066/60107837_zpid/","24194691","310000","09/11/2026","1690","sqft","183.43","9583.2","sqft","4","2","69 Franklin Street","Vernon","6066","CT","USA"
"https://www.zillow.com/homedetails/92-Range-Hill-Dr-Vernon-CT-06066/60109199_zpid/","24196717","380000","09/11/2026","1392","sqft","272.99","0.41","acres","3","2","92 Range Hill Drive","Vernon","6066","CT","USA"
"https://www.zillow.com/homedetails/10-Grant-Street-Vernon-Rockville-CT-06066/2081620432_zpid/","24185159","460000","09/11/2026","1698","sqft","270.91","7405.2","sqft","4","4","10 Grant Street","Vernon Rockville","6066","CT","USA"
"https://www.zillow.com/homedetails/45-Wilshire-Rd-Vernon-CT-06066/60103033_zpid/","24193412","336000","09/10/2026","1996","sqft","168.34","0.34","acres","3","2","45 Wilshire Road","Vernon","6066","CT","USA"
"https://www.zillow.com/homedetails/65-Dockerel-Rd-Vernon-CT-06066/60110620_zpid/","24188385","495000","09/09/2026","2061","sqft","240.17","2.9","acres","3","3","65 Dockerel Road","Vernon","6066","CT","USA"
"https://www.zillow.com/homedetails/52-Merline-Rd-Vernon-CT-06066/60108969_zpid/","24186194","425000","09/07/2026","1696","sqft","250.59","0.52","acres","4","2","52 Merline Road","Vernon","6066","CT","USA"
"https://www.zillow.com/homedetails/41-Birch-St-Vernon-CT-06066/60104841_zpid/","24181572","280000","09/04/2026","1876","sqft","149.25","0.69","acres","3","2","41 Birch Street","Vernon","6066","CT","USA"
"https://www.zillow.com/homedetails/1158-Hartford-Tpke-UNIT-43-Vernon-CT-06066/69340723_zpid/","24195703","343000","09/03/2026","1337","sqft","256.54","","","2","2","1158 Hartford Turnpike #43","Vernon","6066","CT","USA"
"https://www.zillow.com/homedetails/27-Sunrise-Dr-Vernon-CT-06066/60110514_zpid/","24189219","345000","09/02/2026","1408","sqft","245.03","0.3","acres","3","1","27 Sunrise Drive","Vernon","6066","CT","USA"
"https://www.zillow.com/homedetails/86-George-Dr-Vernon-CT-06066/60102680_zpid/","24195528","475000","09/01/2026","2024","sqft","234.68","0.42","acres","3","3","86 George Drive","Vernon","6066","CT","USA"
"https://www.zillow.com/homedetails/20-Wildwood-Rd-Vernon-CT-06066/60103065_zpid/","24155166","900000","09/01/2026","2752","sqft","327.03","2.6","acres","3","3","20 Wildwood Road","Vernon","6066","CT","USA"
"https://www.zillow.com/homedetails/46-Crestridge-Dr-Vernon-CT-06066/60106065_zpid/","24193581","442500","09/01/2026","2548","sqft","173.67","0.76","acres","3","3","46 Crestridge Drive","Vernon","6066","CT","USA"
"https://www.zillow.com/homedetails/325-Kelly-Rd-TRAILER-O9-Vernon-CT-06066/207179078_zpid/","24171668","65000","09/01/2026","924","sqft","70.35","","","2","2","325 Kelly Road Lot O9","Vernon","6066","CT","USA"
"https://www.zillow.com/homedetails/201-Regan-Rd-APT-23B-Vernon-CT-06066/207181097_zpid/","24188699","145000","08/28/2026","695","sqft","208.63","","","1","1","201 REGAN Road #23B","Vernon","6066","CT","USA"
"https://www.zillow.com/homedetails/165-South-St-UNIT-6-Vernon-CT-06066/60104452_zpid/","24174307","169000","08/27/2026","980","sqft","172.45","","","2","1","165 South Street #6","Vernon","6066","CT","USA"
