Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/16-Fermier-Rd-Willington-CT-06279/58105870_zpid/","24195069","250000","09/11/2026","1092","sqft","228.94","1.2","acres","3","1","16 Fermier Road","Willington","6279","CT","USA"
"https://www.zillow.com/homedetails/13-Nipmuck-Rd-Willington-CT-06279/58104961_zpid/","24184253","479900","08/28/2026","2120","sqft","226.37","7.62","acres","3","3","13 Nipmuck Road","Willington","6279","CT","USA"
"https://www.zillow.com/homedetails/40-Seckar-Rd-Willington-CT-06279/82972869_zpid/","24183248","675000","08/27/2026","1432","sqft","471.37","30.17","acres","3","1","40 Seckar Road","Willington","6279","CT","USA"
"https://www.zillow.com/homedetails/18-Lucerne-Dr-Willington-CT-06279/58105788_zpid/","","110000","08/26/2026","1100","sqft","100","1","acres","3","1.5","18 Lucerne Dr","Willington","6279","CT","USA"
"https://www.zillow.com/homedetails/76-Schofield-Rd-Willington-CT-06279/59005687_zpid/","24195354","387500","08/21/2026","960","sqft","403.65","1","acres","3","1","76 Schofield Road","Willington","6279","CT","USA"
"https://www.zillow.com/homedetails/687-River-Rd-Willington-CT-06279/58105467_zpid/","","185000","08/17/2026","1570","sqft","117.83","1.06","acres","4","2","687 River Rd","Willington","6279","CT","USA"
"https://www.zillow.com/homedetails/63-Schofield-Rd-APT-7-Willington-CT-06279/58104758_zpid/","24194129","124900","08/14/2026","1066","sqft","117.17","","","2","1","63 Schofield Road #7","Willington","6279","CT","USA"
"https://www.zillow.com/homedetails/322-Tolland-Tpke-Willington-CT-06279/58105575_zpid/","24191821","300000","08/10/2026","1472","sqft","203.8","0.99","acres","3","2","322 Tolland Turnpike","Willington","6279","CT","USA"
"https://www.zillow.com/homedetails/32-Laurel-Dr-Willington-CT-06279/58105841_zpid/","24187946","601000","08/10/2026","3234","sqft","185.84","1.84","acres","3","3","32 Laurel Drive","Willington","6279","CT","USA"
"https://www.zillow.com/homedetails/48-Marsh-Rd-Willington-CT-06279/58105745_zpid/","24168026","470000","08/07/2026","2002","sqft","234.77","3.2","acres","3","3","48 Marsh Road","Willington","6279","CT","USA"
"https://www.zillow.com/homedetails/12-Liska-Rd-Willington-CT-06279/58105862_zpid/","24185004","465000","07/31/2026","1892","sqft","245.77","2.08","acres","4","2","12 Liska Road","Willington","6279","CT","USA"
"https://www.zillow.com/homedetails/23-Baxter-Rd-Willington-CT-06279/58105608_zpid/","24160187","119000","07/30/2026","450","sqft","264.44","0.6","acres","2","1","23 Baxter Road","Willington","6279","CT","USA"
"https://www.zillow.com/homedetails/57-Hall-Hill-Rd-Willington-CT-06279/58105612_zpid/","24165338","85000","07/28/2026","1612","sqft","52.73","3.35","acres","3","2","57 Hall Hill Road","Willington","6279","CT","USA"
"https://www.zillow.com/homedetails/Willington-Hill-Rd-Willington-CT-06279/461752582_zpid/","24167674","181000","07/25/2026","0","","","27.87","acres","","","Willington Hill Road","Willington","6279","CT","USA"
"https://www.zillow.com/homedetails/308-Village-Hill-Rd-Willington-CT-06279/58105715_zpid/","24182621","337000","07/24/2026","1288","sqft","261.65","2.74","acres","3","1","308 Village Hill Road","Willington","6279","CT","USA"
"https://www.zillow.com/homedetails/6-Mason-Rd-Willington-CT-06279/58104804_zpid/","24177909","405000","07/20/2026","1420","sqft","285.21","1.84","acres","3","2","6 Mason Road","Willington","6279","CT","USA"
"https://www.zillow.com/homedetails/54-Mirtl-Rd-Willington-CT-06279/59005595_zpid/","","250000","07/20/2026","1248","sqft","200.32","3.3","acres","3","1","54 Mirtl Rd","Willington","6279","CT","USA"
"https://www.zillow.com/homedetails/44-Michalec-Rd-Ellington-CT-06029/59975128_zpid/","","582000","07/20/2026","2293","sqft","253.82","2.06","acres","3","2.5","44 Michalec Rd","Ellington","6029","CT","USA"
"https://www.zillow.com/homedetails/31-Potter-School-Rd-Willington-CT-06279/64692253_zpid/","24180030","525000","07/14/2026","1728","sqft","303.82","2.86","acres","3","3","31 Potter School Road","Willington","6279","CT","USA"
"https://www.zillow.com/homedetails/65-Pinney-Hill-Rd-Willington-CT-06279/58105720_zpid/","24175933","373000","07/10/2026","2208","sqft","168.93","2.07","acres","3","2","65 Pinney Hill Road","Willington","6279","CT","USA"
"https://www.zillow.com/homedetails/7-Tolland-Tpke-Willington-CT-06279/59005825_zpid/","24166705","462000","07/08/2026","2275","sqft","203.08","0.66","acres","5","4","7 Tolland Turnpike","Willington","6279","CT","USA"
"https://www.zillow.com/homedetails/77-Latham-Rd-Willington-CT-06279/58105498_zpid/","24173452","363000","06/30/2026","1672","sqft","217.11","4.72","acres","4","2","77 Latham Road","Willington","6279","CT","USA"
"https://www.zillow.com/homedetails/10-Depot-Rd-15-Willington-CT-06279/58105616_zpid/","24162028","285000","06/26/2026","2096","sqft","135.97","","","3","3","10 Depot Road #15","Willington","6279","CT","USA"
"https://www.zillow.com/homedetails/131-River-Rd-Willington-CT-06279/58104876_zpid/","24146210","300000","06/23/2026","3118","sqft","96.22","2.5","acres","6","3","131 River Road","Willington","6279","CT","USA"
"https://www.zillow.com/homedetails/10-Depot-Rd-22-Willington-CT-06279/58105759_zpid/","24166770","369000","06/23/2026","2060","sqft","179.13","","","3","3","10 Depot Road #22","Willington","6279","CT","USA"
"https://www.zillow.com/homedetails/30-Lucerne-Dr-Willington-CT-06279/59005800_zpid/","24174350","380000","06/22/2026","1629","sqft","233.27","1","acres","3","2","30 Lucerne Drive","Willington","6279","CT","USA"
"https://www.zillow.com/homedetails/62-Cosgrove-Rd-Willington-CT-06279/58104850_zpid/","24174902","391000","06/12/2026","1496","sqft","261.36","1.9","acres","3","2","62 Cosgrove Road","Willington","6279","CT","USA"
"https://www.zillow.com/homedetails/292-Tolland-Tpke-Willington-CT-06279/2065606032_zpid/","24161044","125000","06/12/2026","0","","","3.87","acres","","","292 Tolland Turnpike","Willington","6279","CT","USA"
"https://www.zillow.com/homedetails/44-Michalec-Rd-Willington-CT-06279/461132668_zpid/","24160062","582000","06/09/2026","2293","sqft","253.82","2.06","acres","3","3","44 Michalec Road","Willington","6279","CT","USA"
"https://www.zillow.com/homedetails/66-Jared-Sparks-Rd-Willington-CT-06279/58105718_zpid/","","465000","06/01/2026","2593","sqft","179.33","3.38","acres","3","2.5","66 Jared Sparks Rd","Willington","6279","CT","USA"
