Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country
"https://www.zillow.com/homedetails/58-Kent-Rd-Wilton-CT-06897/57689687_zpid/","24183735","1345000","09/11/2026","3504","sqft","383.85","1.13","acres","4","3","58 Kent Road","Wilton","6897","CT","USA"
"https://www.zillow.com/homedetails/66-Glen-Vw-UNIT-66-Wilton-CT-06897/463762782_zpid/","24188536","760000","09/10/2026","1320","sqft","575.76","","","2","3","66 Glen View #66","Wilton","6897","CT","USA"
"https://www.zillow.com/homedetails/130-Blue-Ridge-Rd-Wilton-CT-06897/57419035_zpid/","24193149","1255000","09/04/2026","3168","sqft","396.15","1.4","acres","3","2","130 Blue Ridge Road","Wilton","6897","CT","USA"
"https://www.zillow.com/homedetails/47-Pine-Ridge-Rd-Wilton-CT-06897/57418636_zpid/","24187681","1610000","09/03/2026","3314","sqft","485.82","2","acres","4","4","47 Pine Ridge Road","Wilton","6897","CT","USA"
"https://www.zillow.com/homedetails/6-New-St-Wilton-CT-06897/57418367_zpid/","24186767","726000","09/01/2026","1333","sqft","544.64","1.55","acres","3","2","6 New St Extension","Wilton","6897","CT","USA"
"https://www.zillow.com/homedetails/26-Hulda-Hill-Rd-Wilton-CT-06897/57419314_zpid/","24177191","1050000","09/01/2026","3298","sqft","318.37","2.14","acres","3","3","26 Hulda Hill Road","Wilton","6897","CT","USA"
"https://www.zillow.com/homedetails/1-Wilton-Crst-Wilton-CT-06897/57419693_zpid/","24188546","1249000","08/31/2026","2240","sqft","557.59","0.8","acres","4","3","1 Wilton Acres","Wilton","6897","CT","USA"
"https://www.zillow.com/homedetails/324-Nod-Hill-Rd-Wilton-CT-06897/57689627_zpid/","24189849","2000000","08/31/2026","5846","sqft","342.11","3.52","acres","4","7","324 Nod Hill Road","Wilton","6897","CT","USA"
"https://www.zillow.com/homedetails/31-Vista-Rd-Wilton-CT-06897/57420769_zpid/","24180485","850000","08/27/2026","1866","sqft","455.52","0.48","acres","3","2","31 Vista Road","Wilton","6897","CT","USA"
"https://www.zillow.com/homedetails/18-W-Meadow-Rd-Wilton-CT-06897/58840890_zpid/","24181450","2300000","08/24/2026","4808","sqft","478.37","1","acres","4","5","18 West Meadow Road","Wilton","6897","CT","USA"
"https://www.zillow.com/homedetails/211-Newtown-Tpke-Wilton-CT-06897/58840893_zpid/","24182637","1112000","08/24/2026","3024","sqft","367.72","1.1","acres","4","3","211 Newtown Turnpike","Wilton","6897","CT","USA"
"https://www.zillow.com/homedetails/20-Wicks-End-Ln-Wilton-CT-06897/58840986_zpid/","24185095","1660000","08/20/2026","3424","sqft","484.81","2.01","acres","4","4","20 Wicks End Lane","Wilton","6897","CT","USA"
"https://www.zillow.com/homedetails/137-Sturges-Ridge-Rd-Wilton-CT-06897/58840937_zpid/","125315","1775000","08/19/2026","3615","sqft","491.01","1.49","acres","4","5","137 Sturges Ridge Rd","Wilton","6897","CT","USA"
"https://www.zillow.com/homedetails/195-Range-Rd-Wilton-CT-06897/57689831_zpid/","24186255","905000","08/18/2026","1816","sqft","498.35","2.11","acres","3","2","195 Range Road","Wilton","6897","CT","USA"
"https://www.zillow.com/homedetails/2-Deerfield-Rd-Wilton-CT-06897/109715836_zpid/","24183185","2075000","08/18/2026","5289","sqft","392.32","1","acres","6","6","2 Deerfield Road","Wilton","6897","CT","USA"
"https://www.zillow.com/homedetails/871-Ridgefield-Rd-Wilton-CT-06897/57420516_zpid/","24179319","890000","08/17/2026","1706","sqft","521.69","2.2","acres","3","2","871 Ridgefield Road","Wilton","6897","CT","USA"
"https://www.zillow.com/homedetails/88-Grey-Rocks-Rd-Wilton-CT-06897/57420277_zpid/","24185788","2552000","08/14/2026","6596","sqft","386.9","2.01","acres","6","6","88 Grey Rocks Road","Wilton","6897","CT","USA"
"https://www.zillow.com/homedetails/28-New-St-Wilton-CT-06897/57688905_zpid/","24179106","747500","08/14/2026","1205","sqft","620.33","0.5","acres","3","2","28 New Street","Wilton","6897","CT","USA"
"https://www.zillow.com/homedetails/63-Cannon-Rd-Wilton-CT-06897/58841106_zpid/","24170769","875000","08/14/2026","1864","sqft","469.42","1.2","acres","4","3","63 Cannon Road","Wilton","6897","CT","USA"
"https://www.zillow.com/homedetails/94-Vista-Rd-Wilton-CT-06897/58842004_zpid/","24166305","1450000","08/14/2026","3974","sqft","364.87","2","acres","4","4","94 Vista Road","Wilton","6897","CT","USA"
"https://www.zillow.com/homedetails/74-Hurlbutt-St-Wilton-CT-06897/57418930_zpid/","24175372","870000","08/12/2026","2067","sqft","420.9","1.7","acres","4","3","74 Hurlbutt Street","Wilton","6897","CT","USA"
"https://www.zillow.com/homedetails/125-Skunk-Ln-Wilton-CT-06897/57418963_zpid/","24187095","1925000","08/10/2026","5072","sqft","379.53","2.01","acres","5","7","125 Skunk Lane","Wilton","6897","CT","USA"
"https://www.zillow.com/homedetails/183-Range-Rd-Wilton-CT-06897/57420364_zpid/","24178624","1610000","08/10/2026","2937","sqft","548.18","1.52","acres","5","3","183 Range Road","Wilton","6897","CT","USA"
"https://www.zillow.com/homedetails/34-Powder-Horn-Hill-Rd-Wilton-CT-06897/57689153_zpid/","24182432","900000","08/10/2026","1933","sqft","465.6","2.6","acres","4","3","34 Powder Horn Hill Road","Wilton","6897","CT","USA"
