time,municipality,days
18:00,westport,0-5
18:02,east-windsor,0-5
18:04,madison,0-5
18:06,ellington,0-5
18:08,cheshire,0-5
18:10,fairfield,0-5
18:12,somers,0-5
18:14,bridgeport,0-5
18:16,stafford,0-5
18:18,willington,0-5
18:20,tolland,0-5
18:22,vernon,0-5
18:24,groton,0-5
18:26,oxford,0-5
18:28,milford,0-5
18:30,new-london,0-5
18:32,east-granby,0-5
18:34,granby,0-5
18:36,stonington,0-5
18:38,avon,0-5
18:40,suffield,0-5
18:42,berlin,0-5
18:44,windsor,0-5
18:46,bloomfield,0-5
18:48,windsor-locks,0-5
18:50,canton,0-5
18:52,farmington,0-5
18:54,hartford,0-5
18:56,east-hartford,0-5
18:58,simsbury,0-5
19:00,southington,0-5
19:02,west-hartford,0-5
19:04,hamden,0-5
19:06,redding,0-5
19:08,brookfield,0-5
19:10,monroe,0-5
19:12,easton,0-5
19:14,bethel,0-5
19:16,southbury,0-5
19:18,meriden,0-5
19:20,north-haven,0-5
19:22,stratford,0-5
19:24,wallingford,0-5
19:26,west-haven,0-5
19:28,naugatuck,0-5
19:30,new-canaan,0-5
19:32,norwalk,0-5
19:34,shelton,0-5
19:36,derby,0-5
19:38,trumbull,0-5
19:40,greenwich,0-5
19:42,newtown,0-5
19:44,danbury,0-5
19:46,stamford,0-5
19:48,guilford,0-5
19:50,darien,0-5
19:52,glastonbury,0-5
19:54,manchester,0-5
19:56,mansfield,0-5
19:58,middletown,0-5
20:00,old-lyme,0-5
20:02,east-lyme,0-5
20:04,waterford,0-5
20:06,lyme,0-5
20:08,new-milford,0-5
20:10,orange,0-5
20:12,clinton,0-5
20:14,doylestown,0-5
20:16,doylestown-twp,0-5
20:18,buckingham-twp,0-5
20:20,plumstead-twp,0-5
20:22,solebury-twp,0-5
20:24,new-hope,0-5
20:26,newtown-twp,0-5
20:28,newtown-boro,0-5
20:30,upper-makefield-twp,0-5
20:32,wrightstown-twp,0-5
20:34,northampton-twp,0-5
20:36,lower-makefield-twp,0-5
20:38,yardley-boro,0-5
20:40,falls-twp,0-5
20:42,bristol-twp,0-5
20:44,bristol-boro,0-5
20:46,langhorne-boro,0-5
20:48,middletown-twp,0-5
20:50,bensalem-twp,0-5
